subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
01vl5soqs7,46187,400150,6765b7450b6793417d74cf30,0,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
01vl5soqs7,20324,436230,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The first student had not had a good morning,,ans,d4
01vl5soqs7,49713,505270,6765b7450b6793417d74cf30,0,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
01vl5soqs7,39763,566119,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d1
01vl5soqs7,12371,611430,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
01vl5soqs7,15276,645802,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The first student had not had a good morning,,ans,c4
01vl5soqs7,17102,694362,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
01vl5soqs7,31561,750981,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The person wanted to eat the dessert,,ans,c3
01vl5soqs7,18667,782363,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
01vl5soqs7,12303,808538,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
01vl5soqs7,7855,832035,6765b7450b6793417d74cf30,0,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
01vl5soqs7,20064,859992,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The first student had had a good morning,,ans,d5
01vl5soqs7,6863,873392,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
01vl5soqs7,6397,887898,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The second student had not had a good morning,,ans,d2
01vl5soqs7,23522,921241,6765b7450b6793417d74cf30,0,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
01vl5soqs7,14273,948297,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The main dish was not on the menu,,ans,c2
01vl5soqs7,8533,962361,6765b7450b6793417d74cf30,0,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
01vl5soqs7,25047,993401,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The second student had had a good morning,,ans,c5
01vl5soqs7,21437,1020662,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
01vl5soqs7,18352,1044961,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The presented did not present Feature B,,ans,c1
01vl5soqs7,12127,1063338,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
01vl5soqs7,16685,1088772,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
01vl5soqs7,17138,1109986,6765b7450b6793417d74cf30,1,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
01vl5soqs7,5426,1120498,6765b7450b6793417d74cf30,,6851b6145b9a58eb29d70934,6851bdf011b63d7876ce10a8,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
