subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
072j8b878l,32960.69999998808,830989,675430ccee2fa6f30842fd82,0,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
072j8b878l,142961.60000002384,1029928,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The presenter did not present Feature A,,ans,c1
072j8b878l,15420.299999952316,1068709,675430ccee2fa6f30842fd82,1,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
072j8b878l,98883,1206717,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The second student had had a good morning,,ans,d3
072j8b878l,19814.80000001192,1245555,675430ccee2fa6f30842fd82,1,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
072j8b878l,26491.80000001192,1293890,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
072j8b878l,12651.699999988079,1345333,675430ccee2fa6f30842fd82,0,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
072j8b878l,47922.39999997616,1428215,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The presented did not present Feature B,,ans,c3
072j8b878l,14123.899999976158,1459470,675430ccee2fa6f30842fd82,0,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
072j8b878l,67691,1560305,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The first student had had a good morning,,ans,d5
072j8b878l,18016.899999976158,1597868,675430ccee2fa6f30842fd82,0,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
072j8b878l,44935.89999997616,1679802,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
072j8b878l,13602.899999976158,1710752,675430ccee2fa6f30842fd82,0,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
072j8b878l,27748.900000035763,1771131,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
072j8b878l,13194.699999988079,1800029,675430ccee2fa6f30842fd82,1,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
072j8b878l,27884.700000047684,1855641,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The presenter did not present Feature A,,ans,d1
072j8b878l,12603.199999988079,1884971,675430ccee2fa6f30842fd82,1,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
072j8b878l,29911.100000023842,1945000,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The second student had not had a good morning,,ans,c2
072j8b878l,13165.099999964237,1977052,675430ccee2fa6f30842fd82,1,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
072j8b878l,29060.30000001192,2035599,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
072j8b878l,14937.600000023842,2066287,675430ccee2fa6f30842fd82,1,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
072j8b878l,25585.899999976158,2120538,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The first student had not had a good morning,,ans,d4
072j8b878l,7807.800000011921,2136941,675430ccee2fa6f30842fd82,0,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
072j8b878l,20797.299999952316,2174520,675430ccee2fa6f30842fd82,,6851b6145b9a58eb29d70934,6851be2aa294ad223fd350b6,,,,,,,,,,The person wanted to eat the main dish,,ans,c5
