subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
081821707n,41012.59999999404,733499,683fc522440795d2af73ec82,0,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
081821707n,43177.09999999404,804211,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The presented did not present Feature B,,ans,c3
081821707n,6811.0999999940395,832806,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
081821707n,53723.09999999404,937563,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d1
081821707n,42598.5,1007221,683fc522440795d2af73ec82,0,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
081821707n,27270.59999999404,1061340,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
081821707n,106767.70000001788,1206212,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
081821707n,24177.90000000596,1265786,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The first student had had a good morning,,ans,d5
081821707n,2182.600000023842,1280128,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
081821707n,24726.59999999404,1315292,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The first student did not attend,,ans,c1
081821707n,2383.2000000178814,1344757,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
081821707n,42053.19999998808,1401091,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d4
081821707n,1261,1408195,683fc522440795d2af73ec82,0,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
081821707n,100690,1512433,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The main dish was not on the menu,,ans,c2
081821707n,1188.300000011921,1524670,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
081821707n,44277,1572340,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The second student had not had a good morning,,ans,d6
081821707n,1454.5,1578904,683fc522440795d2af73ec82,0,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
081821707n,134648.30000001192,1716948,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The main dish was on the menu,,ans,d7
081821707n,829.4000000059605,1721391,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
081821707n,61746.69999998808,1784583,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The main dish was not on the menu,,ans,d2
081821707n,859.1999999880791,1788914,683fc522440795d2af73ec82,1,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
081821707n,75678.19999998808,1867171,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
081821707n,840,1871856,683fc522440795d2af73ec82,0,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
081821707n,88519.90000000596,1970252,683fc522440795d2af73ec82,,6851b6145b9a58eb29d70934,6851bdcb2a75dc0994c37164,,,,,,,,,,The first student had had a good morning,,ans,c5
