subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
0bdvkdpyge,64013.60000000894,1193596,682b3b47f9418ffe49a747b8,0,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
0bdvkdpyge,73111.19999998808,1363197,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The main dish was not on the menu,,ans,c2
0bdvkdpyge,44046.59999999404,1443668,682b3b47f9418ffe49a747b8,1,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
0bdvkdpyge,47278.89999999106,1546876,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The main dish was on the menu,,ans,d5
0bdvkdpyge,46669.90000000596,1626796,682b3b47f9418ffe49a747b8,0,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
0bdvkdpyge,79791.09999999404,1739420,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The presenter did not present Feature A,,ans,d3
0bdvkdpyge,5054.4000000059605,1771684,682b3b47f9418ffe49a747b8,1,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,80%,50%,10%,50%,group,1,1,1,0,,,stim,c5
0bdvkdpyge,83295.09999999404,1876548,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The first student had had a good morning,,ans,c5
0bdvkdpyge,24630.70000000298,1914603,682b3b47f9418ffe49a747b8,0,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
0bdvkdpyge,38494.70000000298,2017244,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The first student attended,,ans,d4
0bdvkdpyge,12390.10000000894,2038043,682b3b47f9418ffe49a747b8,1,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
0bdvkdpyge,149060.09999999404,2195674,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c1
0bdvkdpyge,56378.5,2269179,682b3b47f9418ffe49a747b8,0,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
0bdvkdpyge,72639.20000000298,2369883,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The presented did not present Feature B,,ans,d1
0bdvkdpyge,22430.5,2399051,682b3b47f9418ffe49a747b8,0,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
0bdvkdpyge,14814.89999999106,2431771,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The first student had had a good morning,,ans,c3
0bdvkdpyge,13326.79999999702,2452003,682b3b47f9418ffe49a747b8,0,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
0bdvkdpyge,43431.10000000894,2502819,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The second student had not had a good morning,,ans,c4
0bdvkdpyge,12686.40000000596,2529419,682b3b47f9418ffe49a747b8,1,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
0bdvkdpyge,31079.30000001192,2571123,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The first student did not attend,,ans,d2
0bdvkdpyge,2614.7000000029802,2577923,682b3b47f9418ffe49a747b8,1,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
0bdvkdpyge,65366.79999999702,2655243,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The first student had not had a good morning,,ans,d6
0bdvkdpyge,3214.5,2666187,682b3b47f9418ffe49a747b8,1,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
0bdvkdpyge,39935.29999999702,2711715,682b3b47f9418ffe49a747b8,,6851b6145b9a58eb29d70934,6851be26ba5c80340649cc64,,,,,,,,,,The presenter presented Feature A,,ans,d7
