subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
0jfdc0w57x,6446.600000023842,208665,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
0jfdc0w57x,18721.200000047684,240804,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The first student had had a good morning,,ans,d5
0jfdc0w57x,4904.700000047684,260771,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
0jfdc0w57x,45137.40000009537,313725,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d1
0jfdc0w57x,9107.899999976158,337369,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
0jfdc0w57x,23211.600000023842,369347,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The main dish was not on the menu,,ans,c2
0jfdc0w57x,5216.399999976158,397961,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
0jfdc0w57x,4817.799999952316,413704,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The main dish was not on the menu,,ans,d3
0jfdc0w57x,8029,431641,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
0jfdc0w57x,4433.699999928474,441853,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The second student did not attend,,ans,d4
0jfdc0w57x,3042.6999999284744,454957,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
0jfdc0w57x,8118.899999976158,478100,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The second student attended,,ans,d7
0jfdc0w57x,3162.899999976158,487967,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
0jfdc0w57x,8596.5,507240,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The main dish was not on the menu,,ans,c1
0jfdc0w57x,5136.800000071526,521015,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
0jfdc0w57x,4922.899999976158,535552,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The main dish was not on the menu,,ans,d2
0jfdc0w57x,1452.2000000476837,541248,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
0jfdc0w57x,8533.100000023842,554697,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The main dish was on the menu,,ans,c5
0jfdc0w57x,1684.3999999761581,569733,5a198755f2e3460001edc5c9,0,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
0jfdc0w57x,4899.600000023842,580124,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The second student did not attend,,ans,c3
0jfdc0w57x,2259.600000023842,585754,5a198755f2e3460001edc5c9,0,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
0jfdc0w57x,11209.100000023842,605428,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
0jfdc0w57x,4297.799999952316,617917,5a198755f2e3460001edc5c9,1,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
0jfdc0w57x,13590.599999904633,636727,5a198755f2e3460001edc5c9,,6851b6145b9a58eb29d70934,6851be62a6449ffe676f4132,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
