subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
0vz9trxbk3,59903.19999998808,721456,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
0vz9trxbk3,117327.09999996424,871280,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The presenter presented Feature A,,ans,d7
0vz9trxbk3,18918.5,934800,669be03b876917afc25fde4d,0,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
0vz9trxbk3,155600.19999998808,1149313,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The second student did not attend,,ans,c3
0vz9trxbk3,58311.60000002384,1245536,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
0vz9trxbk3,46359.700000047684,1334881,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The dessert was not on the menu,,ans,d6
0vz9trxbk3,18055.600000023842,1370848,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
0vz9trxbk3,122160,1530336,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The person did not want to eat the main dish,,ans,c1
0vz9trxbk3,13007,1572760,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
0vz9trxbk3,26335.299999952316,1615504,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The first student had not had a good morning,,ans,c4
0vz9trxbk3,10967.399999976158,1663392,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
0vz9trxbk3,46927.39999997616,1749872,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The first student attended,,ans,c2
0vz9trxbk3,12118.900000035763,1772392,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
0vz9trxbk3,8895.899999976158,1816176,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The second student had had a good morning,,ans,d3
0vz9trxbk3,25342.299999952316,1857656,669be03b876917afc25fde4d,0,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
0vz9trxbk3,19599.100000023842,1913856,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
0vz9trxbk3,18423.399999976158,1941664,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
0vz9trxbk3,34583.5,2014064,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The dessert was not on the menu,,ans,d2
0vz9trxbk3,22854.69999998808,2043744,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
0vz9trxbk3,27647.299999952316,2092264,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The second student had had a good morning,,ans,c5
0vz9trxbk3,26679.299999952316,2125384,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
0vz9trxbk3,30334.30000001192,2184536,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The main dish was not on the menu,,ans,d1
0vz9trxbk3,16927.5,2209224,669be03b876917afc25fde4d,1,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
0vz9trxbk3,8263.300000011921,2241456,669be03b876917afc25fde4d,,6851b6145b9a58eb29d70934,6851bde5db17784911e530b8,,,,,,,,,,The dessert was not on the menu,,ans,d4
