subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
1npbblglq9,46121.300000190735,786023,66bfce1494d41c5415a5fddd,0,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
1npbblglq9,25191.800000190735,868993,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The main dish was not on the menu,,ans,d2
1npbblglq9,20598.300000190735,958979,66bfce1494d41c5415a5fddd,1,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
1npbblglq9,58842.300000190735,1050124,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The second student had not had a good morning,,ans,d5
1npbblglq9,27833.800000190735,1361155,66bfce1494d41c5415a5fddd,1,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
1npbblglq9,26990.89999961853,1414040,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d4
1npbblglq9,139954,1570298,66bfce1494d41c5415a5fddd,0,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,50%,10%,50%,80%,job,0,0,0,0,,,stim,c1
1npbblglq9,79367,1719735,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The presented did not present Feature B,,ans,c1
1npbblglq9,15122.5,1753150,66bfce1494d41c5415a5fddd,1,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
1npbblglq9,45863.59999990463,1899879,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The dessert was not on the menu,,ans,c3
1npbblglq9,25687,1931942,66bfce1494d41c5415a5fddd,0,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
1npbblglq9,18710.799999713898,1968126,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The dessert was on the menu,,ans,d3
1npbblglq9,9503.39999961853,2000094,66bfce1494d41c5415a5fddd,0,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
1npbblglq9,36247,2048306,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The second student did not attend,,ans,d1
1npbblglq9,5058.800000190735,2058142,66bfce1494d41c5415a5fddd,1,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
1npbblglq9,21274.599999904633,2129211,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The dessert was not on the menu,,ans,c2
1npbblglq9,1585.4000000953674,2138101,66bfce1494d41c5415a5fddd,0,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
1npbblglq9,103114.90000009537,2248646,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c4
1npbblglq9,1702.6999998092651,2254429,66bfce1494d41c5415a5fddd,0,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
1npbblglq9,21144,2282730,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The files underlying Feature B were fine,,ans,d7
1npbblglq9,1346.3000001907349,2287906,66bfce1494d41c5415a5fddd,1,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
1npbblglq9,15906.700000286102,2314390,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The presenter presented Feature A,,ans,c5
1npbblglq9,1802.9000000953674,2320469,66bfce1494d41c5415a5fddd,1,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
1npbblglq9,43762.59999990463,2371662,66bfce1494d41c5415a5fddd,,6851b6145b9a58eb29d70934,6851be5fd00d54869dbe7d19,,,,,,,,,,The first student had not had a good morning,,ans,d6
