subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
1v1yfyk648,14502.5,328465,5ee4a14b578f8a000b384376,0,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
1v1yfyk648,92142.90000000037,458282,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
1v1yfyk648,18051.199999999255,490827,5ee4a14b578f8a000b384376,0,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
1v1yfyk648,34623.5,528730,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d5
1v1yfyk648,14323.300000000745,555569,5ee4a14b578f8a000b384376,0,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
1v1yfyk648,24325,588698,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The presenter did not present Feature A,,ans,c2
1v1yfyk648,13494.799999998882,613650,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
1v1yfyk648,41590.89999999851,659138,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The first student had not had a good morning,,ans,d6
1v1yfyk648,8246.10000000149,681689,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
1v1yfyk648,27183.800000000745,710978,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The first student did not attend,,ans,d1
1v1yfyk648,9311.299999998882,732371,5ee4a14b578f8a000b384376,0,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
1v1yfyk648,19469.700000001118,754378,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
1v1yfyk648,7644.89999999851,772913,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
1v1yfyk648,19812.300000000745,795050,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The first student had had a good morning,,ans,d7
1v1yfyk648,7361,813041,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
1v1yfyk648,17513.400000000373,832557,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The second student had had a good morning,,ans,d3
1v1yfyk648,8492.400000000373,852314,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
1v1yfyk648,22063.300000000745,879170,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
1v1yfyk648,10137.5,907836,5ee4a14b578f8a000b384376,0,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
1v1yfyk648,37958.20000000112,950426,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The presented did not present Feature B,,ans,c3
1v1yfyk648,8280.599999999627,971796,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
1v1yfyk648,43718.800000000745,1020370,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The first student did not attend,,ans,c1
1v1yfyk648,7869.800000000745,1042018,5ee4a14b578f8a000b384376,1,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
1v1yfyk648,134615.40000000037,1181795,5ee4a14b578f8a000b384376,,6851b6145b9a58eb29d70934,6851bddc15db7c0f7fd703bf,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
