subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
20r5xs4280,19535.20000000298,539718,6844f23c93b155490d50b61e,0,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
20r5xs4280,131472.5,710415,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The main dish was on the menu,,ans,c4
20r5xs4280,21066,757946,6844f23c93b155490d50b61e,1,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
20r5xs4280,45597.20000000298,816234,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c1
20r5xs4280,12008.59999999404,837645,6844f23c93b155490d50b61e,1,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
20r5xs4280,21843.5,861831,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
20r5xs4280,7662.19999999553,895010,6844f23c93b155490d50b61e,1,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
20r5xs4280,44404.10000000149,946134,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The second student attended,,ans,d3
20r5xs4280,13330.5,968096,6844f23c93b155490d50b61e,0,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
20r5xs4280,10119.09999999404,982628,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The first student attended,,ans,d4
20r5xs4280,10236.5,1008947,6844f23c93b155490d50b61e,1,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
20r5xs4280,9127,1024534,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The first student had had a good morning,,ans,d6
20r5xs4280,4230.29999999702,1034728,6844f23c93b155490d50b61e,0,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
20r5xs4280,9613.10000000149,1050222,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The main dish was not on the menu,,ans,d2
20r5xs4280,2118.3000000044703,1059755,6844f23c93b155490d50b61e,0,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,10%,50%,80%,50%,cook,1,0,1,1,,,stim,d5
20r5xs4280,11072.79999999702,1074418,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The main dish was on the menu,,ans,d5
20r5xs4280,2828.4000000059605,1083718,6844f23c93b155490d50b61e,0,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
20r5xs4280,17483.60000000149,1107084,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The second student attended,,ans,c5
20r5xs4280,1662.1000000014901,1113203,6844f23c93b155490d50b61e,1,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
20r5xs4280,11986.09999999404,1130353,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The main dish was not on the menu,,ans,c2
20r5xs4280,2493.89999999851,1137036,6844f23c93b155490d50b61e,0,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
20r5xs4280,11601.10000000149,1153192,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The first student did not attend,,ans,d1
20r5xs4280,1885.5,1158972,6844f23c93b155490d50b61e,1,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
20r5xs4280,9917.39999999851,1172308,6844f23c93b155490d50b61e,,6851b6145b9a58eb29d70934,6851c35e886654c153266e12,,,,,,,,,,The dessert was not on the menu,,ans,c3
