subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
20rjsppbxb,32502.69999998808,477979,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
20rjsppbxb,88127.19999998808,585043,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The first student had had a good morning,,ans,d5
20rjsppbxb,25662.80000001192,634386,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
20rjsppbxb,31559.30000001192,684547,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The main dish was not on the menu,,ans,c2
20rjsppbxb,8014.899999976158,708570,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
20rjsppbxb,72087.10000002384,788123,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The second student had had a good morning,,ans,d2
20rjsppbxb,28775.100000023842,826218,681b781064a5701a5ceee3bc,0,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
20rjsppbxb,50711.40000003576,900362,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The person did not want to eat the dessert,,ans,d6
20rjsppbxb,26663.099999964237,942698,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
20rjsppbxb,31527.399999976158,982770,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
20rjsppbxb,13191,1005378,681b781064a5701a5ceee3bc,0,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
20rjsppbxb,33735.30000001192,1047034,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The first student did not attend,,ans,c1
20rjsppbxb,28742.80000001192,1085194,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
20rjsppbxb,47999.30000001192,1137250,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The presented did not present Feature B,,ans,c3
20rjsppbxb,19854.80000001192,1165497,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
20rjsppbxb,24743.399999976158,1194650,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
20rjsppbxb,14743,1220137,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
20rjsppbxb,23951.5,1250378,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
20rjsppbxb,9607,1281257,681b781064a5701a5ceee3bc,0,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
20rjsppbxb,28655.30000001192,1318457,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The second student had had a good morning,,ans,d3
20rjsppbxb,13142.900000035763,1342113,681b781064a5701a5ceee3bc,0,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
20rjsppbxb,8815.400000035763,1363041,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The dessert was not on the menu,,ans,d1
20rjsppbxb,7143,1380393,681b781064a5701a5ceee3bc,1,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
20rjsppbxb,48895.40000003576,1432137,681b781064a5701a5ceee3bc,,6851b6145b9a58eb29d70934,6851be5fb742b240256f60b3,,,,,,,,,,The first student had had a good morning,,ans,d7
