subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
2cxyyc0tl5,7574.799999998882,540732,6827ba6e0560bc0160cd172c,1,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
2cxyyc0tl5,12156.700000001118,563136,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The first student had had a good morning,,ans,d1
2cxyyc0tl5,15191.200000001118,610443,6827ba6e0560bc0160cd172c,1,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
2cxyyc0tl5,14250.599999999627,632308,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The first student had had a good morning,,ans,d5
2cxyyc0tl5,8457.299999998882,665963,6827ba6e0560bc0160cd172c,0,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
2cxyyc0tl5,12217.599999999627,685896,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The presenter did not present Feature A,,ans,c3
2cxyyc0tl5,8289,735084,6827ba6e0560bc0160cd172c,1,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
2cxyyc0tl5,6594.10000000149,747544,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d3
2cxyyc0tl5,11199.900000000373,777398,6827ba6e0560bc0160cd172c,1,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
2cxyyc0tl5,12847.599999999627,796111,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The main dish was not on the menu,,ans,c1
2cxyyc0tl5,1941.5999999996275,817821,6827ba6e0560bc0160cd172c,0,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
2cxyyc0tl5,7473.5,829163,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The main dish was not on the menu,,ans,d6
2cxyyc0tl5,2218,844928,6827ba6e0560bc0160cd172c,1,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
2cxyyc0tl5,9786.900000000373,859068,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The first student did not attend,,ans,d2
2cxyyc0tl5,1911.5,876130,6827ba6e0560bc0160cd172c,0,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
2cxyyc0tl5,12908.599999999627,892390,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The main dish was not on the menu,,ans,d4
2cxyyc0tl5,1515,901846,6827ba6e0560bc0160cd172c,0,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
2cxyyc0tl5,9820,915675,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The main dish was not on the menu,,ans,d7
2cxyyc0tl5,1753.199999999255,930651,6827ba6e0560bc0160cd172c,1,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
2cxyyc0tl5,12619.800000000745,947116,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The presenter presented Feature A,,ans,c5
2cxyyc0tl5,1501.5,958200,6827ba6e0560bc0160cd172c,0,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
2cxyyc0tl5,8463.700000001118,973821,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The presenter did not present Feature A,,ans,c4
2cxyyc0tl5,1436.7999999988824,982875,6827ba6e0560bc0160cd172c,0,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
2cxyyc0tl5,18845.299999998882,1006479,6827ba6e0560bc0160cd172c,,6851b6145b9a58eb29d70934,6851c04713ca3b24cfe7ad5f,,,,,,,,,,The first student did not attend,,ans,c2
