subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
2eq5wkdjrb,20917.100000023842,1112731,6837a5c4c2c29457aa90c421,0,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
2eq5wkdjrb,27931.100000023842,1177490,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The second student had had a good morning,,ans,c4
2eq5wkdjrb,1810,1193323,6837a5c4c2c29457aa90c421,1,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,80%,50%,10%,50%,cook,1,0,0,0,,,stim,c3
2eq5wkdjrb,14736.600000023842,1210522,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The main dish was not on the menu,,ans,c3
2eq5wkdjrb,1879.300000011921,1220741,6837a5c4c2c29457aa90c421,1,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
2eq5wkdjrb,9586.199999988079,1232261,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The first student had had a good morning,,ans,d4
2eq5wkdjrb,1137,1237458,6837a5c4c2c29457aa90c421,0,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
2eq5wkdjrb,5785.699999988079,1245237,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The presented presented Feature B,,ans,c2
2eq5wkdjrb,1508.8999999761581,1253289,6837a5c4c2c29457aa90c421,1,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
2eq5wkdjrb,5526.100000023842,1267254,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
2eq5wkdjrb,1309.199999988079,1277506,6837a5c4c2c29457aa90c421,0,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
2eq5wkdjrb,8738.699999988079,1289331,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The first student attended,,ans,d1
2eq5wkdjrb,1508.5,1296567,6837a5c4c2c29457aa90c421,1,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
2eq5wkdjrb,17087.299999952316,1316887,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The main dish was not on the menu,,ans,c5
2eq5wkdjrb,1221.800000011921,1333814,6837a5c4c2c29457aa90c421,1,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
2eq5wkdjrb,7680.299999952316,1345163,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
2eq5wkdjrb,1268,1353994,6837a5c4c2c29457aa90c421,1,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
2eq5wkdjrb,7450.600000023842,1364617,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The second student attended,,ans,c1
2eq5wkdjrb,1569.3999999761581,1393784,6837a5c4c2c29457aa90c421,0,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
2eq5wkdjrb,5960.899999976158,1419821,6837a5c4c2c29457aa90c421,,6851b6145b9a58eb29d70934,6851bdf1b073c13ea0585c30,,,,,,,,,,The presented presented Feature B,,ans,d5
