subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
2equ5415hf,68726,335048,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
2equ5415hf,126583,486036,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The presenter did not present Feature A,,ans,c1
2equ5415hf,24723,542711,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
2equ5415hf,49227,615315,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The first student had not had a good morning,,ans,c3
2equ5415hf,31495,662567,677c1f550699b8ed8df42410,0,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
2equ5415hf,57450,738556,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The person wanted to eat the main dish,,ans,d1
2equ5415hf,28148,783179,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
2equ5415hf,16163,820688,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
2equ5415hf,11775,859831,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,80%,50%,10%,50%,group,0,1,0,0,,,stim,c2
2equ5415hf,13227,890944,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The first student did not attend,,ans,c2
2equ5415hf,14259,912216,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
2equ5415hf,27482,961555,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
2equ5415hf,14827,983880,677c1f550699b8ed8df42410,0,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
2equ5415hf,20035,1022591,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
2equ5415hf,12818,1045859,677c1f550699b8ed8df42410,0,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
2equ5415hf,17927,1074635,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The main dish was on the menu,,ans,c5
2equ5415hf,9087,1091664,677c1f550699b8ed8df42410,0,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
2equ5415hf,7675,1110387,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
2equ5415hf,14818,1136328,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
2equ5415hf,13787,1166935,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The first student had not had a good morning,,ans,d6
2equ5415hf,22579,1198951,677c1f550699b8ed8df42410,1,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
2equ5415hf,11867,1237300,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The person wanted to eat the dessert,,ans,d4
2equ5415hf,10343,1254019,677c1f550699b8ed8df42410,0,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
2equ5415hf,29795,1303483,677c1f550699b8ed8df42410,,6851b6145b9a58eb29d70934,6851d5dbd6df0f76ab9de12e,,,,,,,,,,The second student had not had a good morning,,ans,c4
