subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
3d20df3aga,12062.899999976158,930901,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,70%,cook,1,1,1,1,,,stim,d7
3d20df3aga,53335.59999996424,1035661,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The person wanted to eat the dessert,,ans,d7
3d20df3aga,11983.300000011921,1062501,5f46cd85e858dd0a24269315,0,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
3d20df3aga,41895.60000002384,1134485,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The dessert was not on the menu,,ans,d1
3d20df3aga,13583.100000023842,1162556,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
3d20df3aga,56463.69999998808,1245316,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The first student had had a good morning,,ans,d5
3d20df3aga,24182.600000023842,1282804,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
3d20df3aga,36271.799999952316,1346732,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The presented did not present Feature B,,ans,c3
3d20df3aga,12031.100000023842,1371851,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
3d20df3aga,27231.80000001192,1424516,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
3d20df3aga,15198.900000035763,1452963,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
3d20df3aga,25535.5,1504011,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The first student did not attend,,ans,c1
3d20df3aga,12655,1530411,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
3d20df3aga,26055.600000023842,1579115,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The presenter did not present Feature A,,ans,c2
3d20df3aga,12175.199999988079,1604099,5f46cd85e858dd0a24269315,0,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
3d20df3aga,23935.5,1652083,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
3d20df3aga,10783,1711690,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
3d20df3aga,20167.600000023842,1760219,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
3d20df3aga,9974.699999988079,1784954,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,50%,80%,50%,10%,cook,1,1,0,0,,,stim,c4
3d20df3aga,21271.600000023842,1830251,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
3d20df3aga,10663.100000023842,1853210,5f46cd85e858dd0a24269315,0,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
3d20df3aga,22614.899999976158,1901146,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The first student had had a good morning,,ans,c5
3d20df3aga,12119.100000023842,1925874,5f46cd85e858dd0a24269315,1,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
3d20df3aga,25743.100000023842,1972906,5f46cd85e858dd0a24269315,,6851b6145b9a58eb29d70934,6851bdef257b10583f8ea5ed,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
