subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
4w571nl7z7,12353.90000000596,776767,683ee7462fe7e0917d6d1d6c,0,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
4w571nl7z7,42878.29999999702,843249,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
4w571nl7z7,7240,863594,683ee7462fe7e0917d6d1d6c,0,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
4w571nl7z7,84921.29999999702,969432,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The first student had not had a good morning,,ans,c3
4w571nl7z7,12511.09999999404,993558,683ee7462fe7e0917d6d1d6c,0,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,10%,50%,80%,50%,group,0,0,0,0,,,stim,c1
4w571nl7z7,75527.60000000894,1084356,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The first student did not attend,,ans,c1
4w571nl7z7,13018,1110554,683ee7462fe7e0917d6d1d6c,1,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
4w571nl7z7,41169,1170535,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
4w571nl7z7,5989.4000000059605,1191115,683ee7462fe7e0917d6d1d6c,1,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
4w571nl7z7,120318.79999999702,1328192,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
4w571nl7z7,6578.5,1345356,683ee7462fe7e0917d6d1d6c,1,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
4w571nl7z7,62770.30000001192,1422009,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
4w571nl7z7,5400.9000000059605,1437906,683ee7462fe7e0917d6d1d6c,0,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,10%,50%,80%,50%,cook,0,1,0,0,,,stim,c2
4w571nl7z7,33022.40000000596,1484670,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The main dish was not on the menu,,ans,c2
4w571nl7z7,5879.9000000059605,1505060,683ee7462fe7e0917d6d1d6c,1,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
4w571nl7z7,38384.59999999404,1555498,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The first student had had a good morning,,ans,d5
4w571nl7z7,6071.20000000298,1576519,683ee7462fe7e0917d6d1d6c,1,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
4w571nl7z7,93675.5,1682258,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
4w571nl7z7,5251.0999999940395,1700362,683ee7462fe7e0917d6d1d6c,0,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
4w571nl7z7,40348.40000000596,1762888,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
4w571nl7z7,6008.4000000059605,1784105,683ee7462fe7e0917d6d1d6c,0,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
4w571nl7z7,58403.30000001192,1855820,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The second student had not had a good morning,,ans,c4
4w571nl7z7,6088.29999999702,1878603,683ee7462fe7e0917d6d1d6c,1,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
4w571nl7z7,30528.09999999404,1921482,683ee7462fe7e0917d6d1d6c,,6851b6145b9a58eb29d70934,6851be5213796f027ba2fe5e,,,,,,,,,,The first student did not attend,,ans,d1
