subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
5k88yf1udx,9272.800000011921,513849,66e8f81e357d882730f18be0,0,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
5k88yf1udx,23078.29999999702,566270,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The presenter did not present Feature A,,ans,c2
5k88yf1udx,6405.79999999702,588097,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
5k88yf1udx,21409.19999998808,624961,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The presented did not present Feature B,,ans,c3
5k88yf1udx,5810.0999999940395,660920,66e8f81e357d882730f18be0,0,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
5k88yf1udx,48080.59999999404,723719,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The dessert was not on the menu,,ans,d1
5k88yf1udx,5823.399999991059,737833,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
5k88yf1udx,35995.19999998808,786851,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The second student had not had a good morning,,ans,c4
5k88yf1udx,6726.899999991059,852018,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
5k88yf1udx,23195,891813,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
5k88yf1udx,9177.29999999702,908949,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
5k88yf1udx,29931.29999999702,955468,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
5k88yf1udx,8520.60000000894,974510,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
5k88yf1udx,19751.79999999702,1008263,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The second student had had a good morning,,ans,d3
5k88yf1udx,7307.600000008941,1024098,66e8f81e357d882730f18be0,0,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
5k88yf1udx,28001.60000000894,1064780,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The first student had had a good morning,,ans,d7
5k88yf1udx,6097.5999999940395,1077908,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
5k88yf1udx,20683.70000000298,1122450,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The presented presented Feature B,,ans,d5
5k88yf1udx,6083,1136535,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
5k88yf1udx,21164.30000001192,1177036,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The presenter did not present Feature A,,ans,c1
5k88yf1udx,8183.29999999702,1193062,66e8f81e357d882730f18be0,1,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
5k88yf1udx,33469.40000000596,1242764,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The person did not want to eat the dessert,,ans,d6
5k88yf1udx,6323.20000000298,1257431,66e8f81e357d882730f18be0,0,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
5k88yf1udx,26313.30000001192,1300555,66e8f81e357d882730f18be0,,6851b6145b9a58eb29d70934,6851bdd56206cc10d623cea5,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
