subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
5kl47l8yg2,11674.199999988079,1394006,683e2d60c89dbb23e1bad535,0,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
5kl47l8yg2,57818.5,1505395,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The presenter did not present Feature A,,ans,c2
5kl47l8yg2,10400.300000011921,1531822,683e2d60c89dbb23e1bad535,0,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
5kl47l8yg2,47730.5,1602837,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
5kl47l8yg2,10569.899999976158,1625606,683e2d60c89dbb23e1bad535,1,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
5kl47l8yg2,95093.19999998808,1752693,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The first student did not attend,,ans,d2
5kl47l8yg2,9920.5,1774639,683e2d60c89dbb23e1bad535,0,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
5kl47l8yg2,62310.80000001192,1861201,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The presenter did not present Feature A,,ans,d3
5kl47l8yg2,13152.399999976158,1891417,683e2d60c89dbb23e1bad535,1,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
5kl47l8yg2,53536.80000001192,1975469,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The presented did not present Feature B,,ans,c3
5kl47l8yg2,1156.5999999642372,1983297,683e2d60c89dbb23e1bad535,1,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,80%,50%,10%,50%,group,1,1,1,1,,,stim,d7
5kl47l8yg2,30578.69999998808,2033313,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The first student had had a good morning,,ans,d7
5kl47l8yg2,2164.199999988079,2040708,683e2d60c89dbb23e1bad535,1,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,50%,80%,50%,10%,cook,1,1,0,1,,,stim,d6
5kl47l8yg2,31747.600000023842,2085831,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
5kl47l8yg2,1792.5999999642372,2093468,683e2d60c89dbb23e1bad535,0,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
5kl47l8yg2,37665.5,2156713,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
5kl47l8yg2,1411.800000011921,2173438,683e2d60c89dbb23e1bad535,1,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
5kl47l8yg2,25814.099999964237,2210852,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The first student attended,,ans,c4
5kl47l8yg2,3273.7000000476837,2231811,683e2d60c89dbb23e1bad535,0,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
5kl47l8yg2,28678.899999976158,2295397,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The person did not want to eat the main dish,,ans,c1
5kl47l8yg2,1439.8999999761581,2300355,683e2d60c89dbb23e1bad535,1,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
5kl47l8yg2,4225.799999952316,2318846,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The person did not want to eat the main dish,,ans,d1
5kl47l8yg2,1472.199999988079,2323898,683e2d60c89dbb23e1bad535,0,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
5kl47l8yg2,6224.399999976158,2334702,683e2d60c89dbb23e1bad535,,6851b6145b9a58eb29d70934,6851be51a294ad223fd350ce,,,,,,,,,,The main dish was on the menu,,ans,d5
