subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
66qd64cqw7,882.5,897444,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
66qd64cqw7,6964.10000000149,906254,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The first student did not attend,,ans,d6
66qd64cqw7,27402.39999999851,962910,67cccc70ea11ab9caa72da49,1,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
66qd64cqw7,4180.79999999702,975494,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The first student attended,,ans,c1
66qd64cqw7,1788.8999999985099,1094677,67cccc70ea11ab9caa72da49,1,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
66qd64cqw7,8686.20000000298,1111030,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The first student did not attend,,ans,d4
66qd64cqw7,5036.39999999851,1180006,67cccc70ea11ab9caa72da49,1,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
66qd64cqw7,22543.39999999851,1223720,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The presenter did not present Feature A,,ans,d3
66qd64cqw7,15693.20000000298,1275687,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,10%,50%,80%,group,1,0,0,0,,,stim,c3
66qd64cqw7,24695,1311855,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The first student attended,,ans,c3
66qd64cqw7,1343.7999999970198,1332215,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,10%,50%,80%,50%,cook,1,1,1,0,,,stim,c5
66qd64cqw7,14744.5,1348848,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The dessert was on the menu,,ans,c5
66qd64cqw7,16725.60000000149,1397574,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
66qd64cqw7,12184.5,1413280,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The first student attended,,ans,d5
66qd64cqw7,2661.89999999851,1423726,67cccc70ea11ab9caa72da49,1,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
66qd64cqw7,3654.5,1448263,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The presenter presented Feature A,,ans,d7
66qd64cqw7,2335.39999999851,1467936,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
66qd64cqw7,7702.79999999702,1477502,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The presenter did not present Feature A,,ans,d2
66qd64cqw7,1029,1500605,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
66qd64cqw7,19591.09999999404,1524552,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The second student attended,,ans,c4
66qd64cqw7,835.6999999955297,1548029,67cccc70ea11ab9caa72da49,0,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,50%,10%,50%,80%,group,0,1,0,0,,,stim,c2
66qd64cqw7,10023.79999999702,1559775,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The first student did not attend,,ans,c2
66qd64cqw7,1046.8999999985099,1565342,67cccc70ea11ab9caa72da49,1,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
66qd64cqw7,8031.80000000447,1577159,67cccc70ea11ab9caa72da49,,6851b6145b9a58eb29d70934,6851be76e5a77d44cca8da48,,,,,,,,,,The main dish was not on the menu,,ans,d1
