subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6jk40mdj69,40690.40000003576,467995,6833d035ff41f8dd0e0dc9e3,0,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
6jk40mdj69,41702,543480,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d5
6jk40mdj69,18022,601060,6833d035ff41f8dd0e0dc9e3,1,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
6jk40mdj69,88701.90000003576,722020,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The first student had not had a good morning,,ans,c4
6jk40mdj69,32792.39999997616,776190,6833d035ff41f8dd0e0dc9e3,1,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
6jk40mdj69,43325.30000001192,867672,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The presented did not present Feature B,,ans,c3
6jk40mdj69,24076.5,924034,6833d035ff41f8dd0e0dc9e3,0,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
6jk40mdj69,50471.80000001192,1011883,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The main dish was on the menu,,ans,d6
6jk40mdj69,16098.800000011921,1058227,6833d035ff41f8dd0e0dc9e3,0,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
6jk40mdj69,19572.900000035763,1094447,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The second student had had a good morning,,ans,d3
6jk40mdj69,19626.599999964237,1140676,6833d035ff41f8dd0e0dc9e3,0,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
6jk40mdj69,18384.69999998808,1169783,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
6jk40mdj69,11876.099999964237,1199179,6833d035ff41f8dd0e0dc9e3,1,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
6jk40mdj69,15877.700000047684,1230821,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The first student did not attend,,ans,c1
6jk40mdj69,19387.399999976158,1260396,6833d035ff41f8dd0e0dc9e3,0,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
6jk40mdj69,9686.699999988079,1280753,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The main dish was not on the menu,,ans,d1
6jk40mdj69,10408.300000011921,1296550,6833d035ff41f8dd0e0dc9e3,1,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,80%,50%,10%,cook,0,1,0,1,,,stim,d2
6jk40mdj69,7541.299999952316,1315251,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The main dish was not on the menu,,ans,d2
6jk40mdj69,6266.300000011921,1327256,6833d035ff41f8dd0e0dc9e3,0,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
6jk40mdj69,6207.099999964237,1339814,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The dessert was not on the menu,,ans,d4
6jk40mdj69,23971.5,1372812,6833d035ff41f8dd0e0dc9e3,1,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
6jk40mdj69,11221.5,1392391,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The presenter presented Feature A,,ans,d7
6jk40mdj69,20380.400000035763,1422769,6833d035ff41f8dd0e0dc9e3,1,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
6jk40mdj69,13790.399999976158,1440809,6833d035ff41f8dd0e0dc9e3,,6851b6145b9a58eb29d70934,6851bdf65365248260ac18c7,,,,,,,,,,The first student did not attend,,ans,c2
