subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6pygs8wm7h,16653.800000000745,1096325,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
6pygs8wm7h,95146.60000000149,1220940,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The first student did not attend,,ans,c1
6pygs8wm7h,11899.699999999255,1265867,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
6pygs8wm7h,6773.900000002235,1289672,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The second student had had a good morning,,ans,d3
6pygs8wm7h,11071.10000000149,1327431,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
6pygs8wm7h,13840.70000000298,1357497,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The first student had not had a good morning,,ans,d6
6pygs8wm7h,40917,1445141,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,10%,50%,80%,50%,cook,1,1,1,1,,,stim,d7
6pygs8wm7h,17272.39999999851,1488182,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The main dish was on the menu,,ans,d7
6pygs8wm7h,16166.800000000745,1556270,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,50%,10%,50%,80%,job,1,1,0,0,,,stim,c4
6pygs8wm7h,44864.699999999255,1612606,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
6pygs8wm7h,7037.800000000745,1632443,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
6pygs8wm7h,7278.20000000298,1648854,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The second student had had a good morning,,ans,c5
6pygs8wm7h,19758.20000000298,1674536,5ed559e5afbd830e2117ed55,1,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
6pygs8wm7h,7395.199999999255,1691326,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The presented did not present Feature B,,ans,d1
6pygs8wm7h,1999.199999999255,1696906,5ed559e5afbd830e2117ed55,1,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
6pygs8wm7h,34874,1791862,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The main dish was not on the menu,,ans,d2
6pygs8wm7h,18826.699999999255,1837349,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
6pygs8wm7h,19757.39999999851,1866001,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
6pygs8wm7h,2357.10000000149,1882263,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
6pygs8wm7h,21634.39999999851,1937667,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The presenter did not present Feature A,,ans,c2
6pygs8wm7h,1732.5999999977648,1945571,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
6pygs8wm7h,4472.39999999851,1962782,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The presented did not present Feature B,,ans,c3
6pygs8wm7h,1077.300000000745,1968192,5ed559e5afbd830e2117ed55,0,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
6pygs8wm7h,17081.89999999851,1996120,5ed559e5afbd830e2117ed55,,6851b6145b9a58eb29d70934,6851be1290979b50a5d69776,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
