subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
6vr9s8xc8z,3254.399999976158,495976,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
6vr9s8xc8z,30474.299999952316,579621,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The presenter presented Feature A,,ans,d4
6vr9s8xc8z,3488.899999976158,617731,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
6vr9s8xc8z,13008.200000047684,656765,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The presented presented Feature B,,ans,c4
6vr9s8xc8z,3373.600000023842,713111,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
6vr9s8xc8z,8512.899999976158,731890,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The first student attended,,ans,d7
6vr9s8xc8z,2035,752111,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
6vr9s8xc8z,7190.900000095367,764520,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The presented presented Feature B,,ans,d1
6vr9s8xc8z,7984.600000023842,835791,684596a6c1637bb27b83f373,1,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
6vr9s8xc8z,7910.600000023842,860462,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The first student attended,,ans,c5
6vr9s8xc8z,1997.1000000238419,867233,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
6vr9s8xc8z,6218.199999928474,891690,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The dessert was on the menu,,ans,d2
6vr9s8xc8z,3878.5,902216,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
6vr9s8xc8z,4923.399999976158,918119,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The main dish was on the menu,,ans,c3
6vr9s8xc8z,2617.600000023842,930043,684596a6c1637bb27b83f373,1,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,80%,50%,10%,50%,cook,0,1,1,1,,,stim,d3
6vr9s8xc8z,7878.200000047684,944400,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The main dish was not on the menu,,ans,d3
6vr9s8xc8z,1872.3999999761581,955007,684596a6c1637bb27b83f373,1,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
6vr9s8xc8z,5631.899999976158,966594,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The presented presented Feature B,,ans,c2
6vr9s8xc8z,2305.899999976158,976580,684596a6c1637bb27b83f373,1,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
6vr9s8xc8z,6455.699999928474,988331,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The presenter did not present Feature A,,ans,d6
6vr9s8xc8z,3470.2000000476837,998734,684596a6c1637bb27b83f373,1,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
6vr9s8xc8z,7258.600000023842,1016492,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The presenter did not present Feature A,,ans,d5
6vr9s8xc8z,1855.8999999761581,1023283,684596a6c1637bb27b83f373,0,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
6vr9s8xc8z,10269.5,1038120,684596a6c1637bb27b83f373,,6851b6145b9a58eb29d70934,6851cb551decf64017d83c4d,,,,,,,,,,The dessert was on the menu,,ans,c1
