subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
7tc8hb104z,18682.799999952316,220261,68274f69462481d10f7a12bb,0,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
7tc8hb104z,34543.09999990463,290131,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The main dish was on the menu,,ans,d7
7tc8hb104z,17225.299999952316,364312,68274f69462481d10f7a12bb,0,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
7tc8hb104z,39706.799999952316,428379,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The first student attended,,ans,d4
7tc8hb104z,27505.5,474430,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
7tc8hb104z,40241.60000002384,537128,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
7tc8hb104z,50309.799999952316,609913,68274f69462481d10f7a12bb,0,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
7tc8hb104z,47029.300000071526,673575,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The presented did not present Feature B,,ans,d1
7tc8hb104z,2927.5,688412,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
7tc8hb104z,25201.100000023842,732430,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The first student did not attend,,ans,c1
7tc8hb104z,4312.5,743966,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
7tc8hb104z,11137.100000023842,766143,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
7tc8hb104z,2133.5,776784,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
7tc8hb104z,39273.10000002384,823979,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The first student had not had a good morning,,ans,c4
7tc8hb104z,1679.6000000238419,835746,68274f69462481d10f7a12bb,0,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
7tc8hb104z,13384.799999952316,867816,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The person wanted to eat the dessert,,ans,c3
7tc8hb104z,1712.2000000476837,875920,68274f69462481d10f7a12bb,0,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
7tc8hb104z,25018.799999952316,907184,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The second student had had a good morning,,ans,c5
7tc8hb104z,1695,917991,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
7tc8hb104z,7434.399999976158,939333,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
7tc8hb104z,1467.1000000238419,947877,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,50%,80%,50%,10%,job,1,1,0,1,,,stim,d6
7tc8hb104z,7556,980655,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d6
7tc8hb104z,1396.3000000715256,987947,68274f69462481d10f7a12bb,1,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
7tc8hb104z,4988.600000023842,1006743,68274f69462481d10f7a12bb,,6851b6145b9a58eb29d70934,6851bdf4fb32ce6aea23c8bc,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
