subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
81hj8ma2go,8981,512401,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
81hj8ma2go,37419.299999952316,635490,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
81hj8ma2go,11302.599999964237,666917,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
81hj8ma2go,34179.5,731666,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The first student had not had a good morning,,ans,d4
81hj8ma2go,7334.399999976158,765993,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
81hj8ma2go,43225.39999997616,839340,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The second student had not had a good morning,,ans,d6
81hj8ma2go,7762.300000011921,863908,6845dc530bd66b4006ffd511,0,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
81hj8ma2go,32759,925821,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
81hj8ma2go,5829.700000047684,950595,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
81hj8ma2go,23342.19999998808,1024668,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The second student attended,,ans,c1
81hj8ma2go,10323.399999976158,1110184,6845dc530bd66b4006ffd511,0,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
81hj8ma2go,25883.799999952316,1158175,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The second student had had a good morning,,ans,d3
81hj8ma2go,17426.899999976158,1183498,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,50%,80%,50%,10%,group,0,1,0,0,,,stim,c2
81hj8ma2go,22768.30000001192,1225104,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The first student did not attend,,ans,c2
81hj8ma2go,6553.899999976158,1245374,6845dc530bd66b4006ffd511,0,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
81hj8ma2go,20655.599999964237,1284735,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The dessert was not on the menu,,ans,c3
81hj8ma2go,7707.300000011921,1300430,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
81hj8ma2go,22623.5,1337359,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
81hj8ma2go,7550,1351282,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
81hj8ma2go,25095.19999998808,1388106,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The dessert was not on the menu,,ans,d1
81hj8ma2go,8303.300000011921,1410714,6845dc530bd66b4006ffd511,0,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
81hj8ma2go,23884,1449279,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The second student had not had a good morning,,ans,d2
81hj8ma2go,6630.5,1463613,6845dc530bd66b4006ffd511,1,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
81hj8ma2go,35715.5,1514146,6845dc530bd66b4006ffd511,,6851b6145b9a58eb29d70934,6851bfa14103be42d028f287,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
