subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
8grh5kext4,18767.199999999255,547079,684784b72cd4c771b30006e7,1,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
8grh5kext4,76247.40000000224,645631,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The presenter presented Feature A,,ans,c3
8grh5kext4,5319.5,658894,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
8grh5kext4,45879,713342,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The presented presented Feature B,,ans,d6
8grh5kext4,4646.199999999255,722463,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
8grh5kext4,30607.60000000149,758343,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d5
8grh5kext4,2279.699999999255,767879,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
8grh5kext4,32568,814415,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The dessert was on the menu,,ans,c1
8grh5kext4,1319.3999999985099,822118,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
8grh5kext4,35127.5,865079,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The person wanted to eat the main dish,,ans,c2
8grh5kext4,4343.39999999851,887287,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
8grh5kext4,52511.300000000745,948407,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The presenter did not present Feature A,,ans,c4
8grh5kext4,1461.9000000022352,953358,684784b72cd4c771b30006e7,1,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
8grh5kext4,48455.5,1004167,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c5
8grh5kext4,1471,1011135,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
8grh5kext4,39903.599999997765,1052655,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The person did not want to eat the main dish,,ans,d7
8grh5kext4,1311.0999999977648,1058463,684784b72cd4c771b30006e7,1,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
8grh5kext4,959.5,1110575,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
8grh5kext4,35304.5,1147680,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The main dish was not on the menu,,ans,d2
8grh5kext4,1183.8999999985099,1153951,684784b72cd4c771b30006e7,0,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
8grh5kext4,21879.5,1178151,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The first student did not attend,,ans,d3
8grh5kext4,951.8000000007451,1225062,684784b72cd4c771b30006e7,1,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
8grh5kext4,25951.60000000149,1253031,684784b72cd4c771b30006e7,,6851b6145b9a58eb29d70934,6851be4e6ad80a1cd016b2b9,,,,,,,,,,The presenter presented Feature A,,ans,d4
