subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
8hlbpcyvvu,68459.59999999776,940067,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
8hlbpcyvvu,123444.5,1134069,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
8hlbpcyvvu,43188,1204067,684971eb64e9a11958797c48,1,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
8hlbpcyvvu,127968.39999999851,1378107,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The presenter presented Feature A,,ans,d5
8hlbpcyvvu,35498.39999999851,1545257,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
8hlbpcyvvu,46593.10000000149,1626423,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The first student attended,,ans,d7
8hlbpcyvvu,37250.70000000298,1814214,684971eb64e9a11958797c48,1,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
8hlbpcyvvu,26550.400000002235,1892263,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
8hlbpcyvvu,12325.20000000298,1966232,684971eb64e9a11958797c48,1,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
8hlbpcyvvu,224871.19999999925,2221170,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
8hlbpcyvvu,49393.699999999255,2431500,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
8hlbpcyvvu,139351.90000000224,2635728,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
8hlbpcyvvu,19748.5,2670687,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,50%,10%,50%,80%,job,0,1,1,1,,,stim,d3
8hlbpcyvvu,7449.29999999702,2692098,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
8hlbpcyvvu,6721.5,2708970,684971eb64e9a11958797c48,1,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
8hlbpcyvvu,39424.800000000745,2775489,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The first student did not attend,,ans,c2
8hlbpcyvvu,16504.199999999255,2800796,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
8hlbpcyvvu,69190.20000000298,2903589,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d1
8hlbpcyvvu,16572.800000000745,2933743,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
8hlbpcyvvu,11436.5,2958615,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The second student did not attend,,ans,c3
8hlbpcyvvu,10742.699999999255,2974461,684971eb64e9a11958797c48,0,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
8hlbpcyvvu,50268.60000000149,3040187,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The second student did not attend,,ans,c1
8hlbpcyvvu,13200.5,3063137,684971eb64e9a11958797c48,1,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
8hlbpcyvvu,5801.10000000149,3095980,684971eb64e9a11958797c48,,6851b6145b9a58eb29d70934,6851c82b46f3f6547a5bf915,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
