subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
8l4l4fgjxh,21618.80000001192,2488461,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
8l4l4fgjxh,141340.5,2751228,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The main dish was on the menu,,ans,d4
8l4l4fgjxh,28395.70000000298,2796841,67d035e69da602b14cb27a9f,0,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,10%,50%,80%,50%,cook,0,0,0,0,,,stim,c1
8l4l4fgjxh,139778.69999998808,3025393,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The main dish was not on the menu,,ans,c1
8l4l4fgjxh,2124.7000000029802,3035218,67d035e69da602b14cb27a9f,0,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
8l4l4fgjxh,55657.79999999702,3097012,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
8l4l4fgjxh,21768.29999999702,3165995,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
8l4l4fgjxh,27639.60000000894,3214219,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The second student had not had a good morning,,ans,c2
8l4l4fgjxh,24322.60000000894,3253269,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,80%,50%,10%,70%,job,0,1,0,1,,,stim,d2
8l4l4fgjxh,123568.60000000894,3415352,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The presenter presented Feature A,,ans,d2
8l4l4fgjxh,25616.29999999702,3453575,67d035e69da602b14cb27a9f,0,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,10%,50%,80%,50%,cook,1,0,0,0,,,stim,c3
8l4l4fgjxh,64097.70000000298,3545877,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The main dish was on the menu,,ans,c3
8l4l4fgjxh,58155.29999999702,3624803,67d035e69da602b14cb27a9f,0,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
8l4l4fgjxh,20749.39999999106,3650377,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The presented presented Feature B,,ans,c4
8l4l4fgjxh,1810.9000000059605,3656471,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
8l4l4fgjxh,32115.80000001192,3691826,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The dessert was not on the menu,,ans,d5
8l4l4fgjxh,1679.5999999940395,3697065,67d035e69da602b14cb27a9f,0,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
8l4l4fgjxh,10359.70000000298,3711401,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The main dish was on the menu,,ans,d6
8l4l4fgjxh,2182.1000000089407,3729333,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
8l4l4fgjxh,22076.90000000596,3755390,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The main dish was on the menu,,ans,d1
8l4l4fgjxh,2259.4000000059605,3764660,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,80%,50%,10%,70%,group,1,1,1,1,,,stim,d7
8l4l4fgjxh,11421,3781387,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The first student attended,,ans,d7
8l4l4fgjxh,4373.5,3791127,67d035e69da602b14cb27a9f,1,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
8l4l4fgjxh,38672.5,3834766,67d035e69da602b14cb27a9f,,6851b6145b9a58eb29d70934,6851bf68b807a31077b293f8,,,,,,,,,,The presenter presented Feature A,,ans,d3
