subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
9r0udtxcy4,1025.300000011921,40274,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
9r0udtxcy4,45705.80000001192,97935,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The second student had had a good morning,,ans,d3
9r0udtxcy4,710.1999999880791,101002,682fe04dab2bb304ea086159,0,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
9r0udtxcy4,17015.099999964237,120423,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c3
9r0udtxcy4,797.8000000119209,123250,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
9r0udtxcy4,11031.199999988079,135527,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The person wanted to eat the main dish,,ans,c5
9r0udtxcy4,913.1999999880791,139817,682fe04dab2bb304ea086159,0,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
9r0udtxcy4,16409.400000035763,158079,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The first student had not had a good morning,,ans,d4
9r0udtxcy4,741.3999999761581,161449,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
9r0udtxcy4,12814.399999976158,176722,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
9r0udtxcy4,762.1000000238419,179763,682fe04dab2bb304ea086159,0,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
9r0udtxcy4,12699.199999988079,194215,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
9r0udtxcy4,1133.6000000238419,198825,682fe04dab2bb304ea086159,0,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
9r0udtxcy4,16347.399999976158,217598,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The second student had not had a good morning,,ans,d6
9r0udtxcy4,869.4000000357628,221154,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
9r0udtxcy4,14215.199999988079,237102,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
9r0udtxcy4,1133.300000011921,241381,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
9r0udtxcy4,15438.800000011921,258611,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The presenter did not present Feature A,,ans,c1
9r0udtxcy4,1049.1000000238419,261909,682fe04dab2bb304ea086159,0,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,50%,10%,50%,80%,cook,0,0,0,1,,,stim,d1
9r0udtxcy4,14311,278379,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The person did not want to eat the main dish,,ans,d1
9r0udtxcy4,876.8999999761581,281888,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,80%,50%,10%,70%,job,0,1,0,0,,,stim,c2
9r0udtxcy4,15790.199999988079,300250,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
9r0udtxcy4,1009.6999999880791,304261,682fe04dab2bb304ea086159,1,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,80%,50%,10%,50%,cook,0,1,0,1,,,stim,d2
9r0udtxcy4,13260,320335,682fe04dab2bb304ea086159,,6851b6145b9a58eb29d70934,6851bfc9f549c3b3bbebd954,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
