subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
a5x9mxdtac,33822.5,1598273,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
a5x9mxdtac,78999.60000002384,1767282,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The presented did not present Feature B,,ans,c3
a5x9mxdtac,24183,1838353,682b538871dba5482e29c05c,0,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
a5x9mxdtac,66494.39999997616,1945113,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The second student did not attend,,ans,c1
a5x9mxdtac,18430.899999976158,1989641,682b538871dba5482e29c05c,0,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,10%,50%,80%,50%,group,0,1,0,0,,,stim,c2
a5x9mxdtac,45341.89999997616,2082393,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The first student did not attend,,ans,c2
a5x9mxdtac,14878.5,2125681,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,80%,50%,10%,70%,cook,1,0,0,1,,,stim,d4
a5x9mxdtac,41992.700000047684,2214922,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
a5x9mxdtac,14394.299999952316,2256004,682b538871dba5482e29c05c,0,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
a5x9mxdtac,51302.699999928474,2341481,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
a5x9mxdtac,12480.399999976158,2376850,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
a5x9mxdtac,49167.39999997616,2459576,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
a5x9mxdtac,15479.400000095367,2505328,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
a5x9mxdtac,46061.800000071526,2592129,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
a5x9mxdtac,13134.100000023842,2628048,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
a5x9mxdtac,76055.20000004768,2736736,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The first student did not attend,,ans,d1
a5x9mxdtac,29816.100000023842,2785665,682b538871dba5482e29c05c,0,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
a5x9mxdtac,64287.700000047684,2883320,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
a5x9mxdtac,12766.699999928474,2913271,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
a5x9mxdtac,38846.700000047684,2982168,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The first student had not had a good morning,,ans,d6
a5x9mxdtac,18278.899999976158,3022055,682b538871dba5482e29c05c,0,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
a5x9mxdtac,39384.39999997616,3092841,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
a5x9mxdtac,32159.200000047684,3147735,682b538871dba5482e29c05c,1,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
a5x9mxdtac,40032.39999997616,3219529,682b538871dba5482e29c05c,,6851b6145b9a58eb29d70934,6851be1ffab6b1d056b26016,,,,,,,,,,The first student had had a good morning,,ans,d5
