subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
asuge0oy90,32575.199999999255,1286983,6832366b4142b6b255dbc4e6,1,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
asuge0oy90,54342.900000002235,1376567,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c4
asuge0oy90,4511,1394663,6832366b4142b6b255dbc4e6,1,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
asuge0oy90,27343.300000000745,1449119,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
asuge0oy90,1711.1000000014901,1491559,6832366b4142b6b255dbc4e6,0,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
asuge0oy90,66031.39999999851,1560159,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The second student had not had a good morning,,ans,d2
asuge0oy90,2496.10000000149,1577984,6832366b4142b6b255dbc4e6,0,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
asuge0oy90,21807.300000000745,1619039,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
asuge0oy90,1895.2000000029802,1643863,6832366b4142b6b255dbc4e6,0,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
asuge0oy90,17519,1675535,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
asuge0oy90,1574.2999999970198,1710982,6832366b4142b6b255dbc4e6,0,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
asuge0oy90,43369.699999999255,1756873,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
asuge0oy90,1494.1000000014901,1776174,6832366b4142b6b255dbc4e6,0,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
asuge0oy90,20223.199999999255,1815846,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d1
asuge0oy90,1645.4000000022352,1827054,6832366b4142b6b255dbc4e6,1,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,50%,80%,50%,10%,job,1,0,1,1,,,stim,d5
asuge0oy90,5918.900000002235,1850830,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
asuge0oy90,1630.800000000745,1869534,6832366b4142b6b255dbc4e6,1,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
asuge0oy90,17040.60000000149,1900880,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The presented did not present Feature B,,ans,c3
asuge0oy90,1735.199999999255,1909134,6832366b4142b6b255dbc4e6,1,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
asuge0oy90,21239.39999999851,1954711,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The second student had not had a good morning,,ans,d6
asuge0oy90,16886.800000000745,1978318,6832366b4142b6b255dbc4e6,1,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
asuge0oy90,13351.199999999255,1999718,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The presenter did not present Feature A,,ans,c1
asuge0oy90,14222.5,2019534,6832366b4142b6b255dbc4e6,0,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
asuge0oy90,5918.39999999851,2034086,6832366b4142b6b255dbc4e6,,6851b6145b9a58eb29d70934,6851be91b1dcad0464fbaabe,,,,,,,,,,The presenter did not present Feature A,,ans,c2
