subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
az9yrulqso,38003.10000000149,1024445,65107641138d7e50e2a290d0,0,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
az9yrulqso,43206.20000000298,1113750,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The main dish was on the menu,,ans,c5
az9yrulqso,18088.20000000298,1155984,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
az9yrulqso,42828.40000000596,1218298,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The first student attended,,ans,c4
az9yrulqso,16912.20000000298,1249912,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
az9yrulqso,48389.20000000298,1349156,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d4
az9yrulqso,6679.20000000298,1387677,65107641138d7e50e2a290d0,0,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
az9yrulqso,5696.39999999851,1402726,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The first student did not attend,,ans,d1
az9yrulqso,7867.69999999553,1439674,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
az9yrulqso,43913.30000000447,1488008,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The second student did not attend,,ans,c3
az9yrulqso,1830.1000000014901,1492973,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
az9yrulqso,8877.39999999851,1511137,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The presenter did not present Feature A,,ans,c2
az9yrulqso,2018.2000000029802,1520638,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
az9yrulqso,7482.80000000447,1543332,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The main dish was not on the menu,,ans,d2
az9yrulqso,48655.20000000298,1596360,65107641138d7e50e2a290d0,0,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
az9yrulqso,13469.69999999553,1615419,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The second student did not attend,,ans,d5
az9yrulqso,1146.1000000014901,1619537,65107641138d7e50e2a290d0,0,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
az9yrulqso,7348.60000000149,1629612,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The main dish was on the menu,,ans,d7
az9yrulqso,3426.5,1636847,65107641138d7e50e2a290d0,0,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
az9yrulqso,9891.80000000447,1648863,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The presented did not present Feature B,,ans,c1
az9yrulqso,1023.2000000029802,1653984,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
az9yrulqso,28679.79999999702,1684286,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The presenter did not present Feature A,,ans,d3
az9yrulqso,1414.8999999985099,1689410,65107641138d7e50e2a290d0,1,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,50%,80%,50%,10%,group,1,1,0,1,,,stim,d6
az9yrulqso,22150.10000000149,1714187,65107641138d7e50e2a290d0,,6851b6145b9a58eb29d70934,6851be3d0385b10e2efc2883,,,,,,,,,,The second student attended,,ans,d6
