subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
cc1b2r81u9,19055.5,295020,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
cc1b2r81u9,46991.10000014305,375197,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The person wanted to eat the dessert,,ans,d4
cc1b2r81u9,21966.89999985695,409199,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
cc1b2r81u9,23040.700000047684,449859,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The dessert was on the menu,,ans,c5
cc1b2r81u9,12302.200000047684,486379,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,10%,70%,80%,50%,group,1,1,0,1,,,stim,d6
cc1b2r81u9,26856.299999952316,535065,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The second student had not had a good morning,,ans,d6
cc1b2r81u9,12540.699999809265,559573,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
cc1b2r81u9,8209.399999856949,584872,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The first student had not had a good morning,,ans,c4
cc1b2r81u9,18991,613504,67edf0b51b5bd671db6a9372,1,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
cc1b2r81u9,12929,639634,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The second student had not had a good morning,,ans,c1
cc1b2r81u9,6942.099999904633,653244,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,10%,70%,80%,50%,group,0,0,0,1,,,stim,d1
cc1b2r81u9,6401,672218,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The second student had not had a good morning,,ans,d1
cc1b2r81u9,5736.599999904633,683858,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,10%,50%,80%,group,1,0,1,1,,,stim,d5
cc1b2r81u9,7931.299999952316,701066,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The first student attended,,ans,d5
cc1b2r81u9,6686.900000095367,711206,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,10%,70%,80%,50%,group,0,1,1,1,,,stim,d3
cc1b2r81u9,10935.300000190735,731095,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The second student attended,,ans,d3
cc1b2r81u9,14727.199999809265,758575,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
cc1b2r81u9,28621.099999904633,800533,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
cc1b2r81u9,7673.799999952316,812403,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
cc1b2r81u9,7127,831717,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The main dish was not on the menu,,ans,d2
cc1b2r81u9,5675.400000095367,842691,67edf0b51b5bd671db6a9372,1,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
cc1b2r81u9,8487.099999904633,865767,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The main dish was not on the menu,,ans,c2
cc1b2r81u9,7752.799999952316,880663,67edf0b51b5bd671db6a9372,0,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
cc1b2r81u9,8609,898881,67edf0b51b5bd671db6a9372,,6851b6145b9a58eb29d70934,6851bde856c76f9cb2ee36f2,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c3
