subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ce9nvysjw0,33067,703094,67f06db537225c87ef8a7332,0,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
ce9nvysjw0,56885.39999997616,796761,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
ce9nvysjw0,10085.100000023842,821892,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
ce9nvysjw0,59931.5,884331,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
ce9nvysjw0,8939,898814,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
ce9nvysjw0,55711,956968,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
ce9nvysjw0,1529.0999999642372,962688,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
ce9nvysjw0,13121.5,983349,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The person wanted to eat the main dish,,ans,c3
ce9nvysjw0,1321,991632,67f06db537225c87ef8a7332,0,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
ce9nvysjw0,73923.80000001192,1067527,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The second student had had a good morning,,ans,c1
ce9nvysjw0,2924.800000011921,1093990,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
ce9nvysjw0,17145.30000001192,1115609,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The first student had had a good morning,,ans,d2
ce9nvysjw0,1024.9000000357628,1122970,67f06db537225c87ef8a7332,0,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
ce9nvysjw0,26895.400000035763,1151989,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The files underlying Feature B were fine,,ans,c2
ce9nvysjw0,1472.800000011921,1157964,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
ce9nvysjw0,31425.5,1194389,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The first student had had a good morning,,ans,c4
ce9nvysjw0,1039.699999988079,1199981,67f06db537225c87ef8a7332,0,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
ce9nvysjw0,13017.399999976158,1216253,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The second student had had a good morning,,ans,c5
ce9nvysjw0,1144.199999988079,1272652,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
ce9nvysjw0,53727.39999997616,1330515,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The first student had had a good morning,,ans,d1
ce9nvysjw0,6289,1339976,67f06db537225c87ef8a7332,1,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
ce9nvysjw0,14271.399999976158,1358109,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The person wanted to eat the main dish,,ans,d4
ce9nvysjw0,1496.699999988079,1363972,67f06db537225c87ef8a7332,0,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
ce9nvysjw0,8554.300000011921,1375789,67f06db537225c87ef8a7332,,6851b6145b9a58eb29d70934,6851bdc858a3c7956324583c,,,,,,,,,,The second student had had a good morning,,ans,d7
