subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
cp0ck7e09r,37105.699999999255,1238151,67402c1286cd87fe38f29ffd,1,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
cp0ck7e09r,72652.09999999963,1381781,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The person did not want to eat the main dish,,ans,c3
cp0ck7e09r,12132.099999999627,1410937,67402c1286cd87fe38f29ffd,0,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
cp0ck7e09r,46910.800000000745,1497887,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c4
cp0ck7e09r,68272.5,1585481,67402c1286cd87fe38f29ffd,0,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
cp0ck7e09r,22394.300000000745,1654495,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
cp0ck7e09r,36085.300000000745,1741099,67402c1286cd87fe38f29ffd,0,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
cp0ck7e09r,83320.70000000112,1851019,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The second student had had a good morning,,ans,d7
cp0ck7e09r,18662.699999999255,1886146,67402c1286cd87fe38f29ffd,1,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
cp0ck7e09r,34742.90000000037,1960465,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The first student had not had a good morning,,ans,d4
cp0ck7e09r,19523.599999999627,1995083,67402c1286cd87fe38f29ffd,1,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
cp0ck7e09r,46149.29999999888,2071065,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The files underlying Feature A were fine,,ans,c5
cp0ck7e09r,7707.799999998882,2097220,67402c1286cd87fe38f29ffd,0,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
cp0ck7e09r,24311.700000001118,2163044,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The presented did not present Feature B,,ans,d1
cp0ck7e09r,25311,2220139,67402c1286cd87fe38f29ffd,1,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
cp0ck7e09r,90879.89999999851,2320948,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The first student had not had a good morning,,ans,d6
cp0ck7e09r,49215.5,2383690,67402c1286cd87fe38f29ffd,0,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
cp0ck7e09r,65811.5,2469957,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The first student did not attend,,ans,c1
cp0ck7e09r,50431.699999999255,2577034,67402c1286cd87fe38f29ffd,0,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,10%,50%,80%,50%,job,0,1,1,1,,,stim,d3
cp0ck7e09r,12903.599999999627,2604581,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
cp0ck7e09r,47144.59999999963,2658552,67402c1286cd87fe38f29ffd,1,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
cp0ck7e09r,49589.699999999255,2730111,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The second student had not had a good morning,,ans,d2
cp0ck7e09r,40135.800000000745,2795437,67402c1286cd87fe38f29ffd,1,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
cp0ck7e09r,8600.799999998882,2815845,67402c1286cd87fe38f29ffd,,6851b6145b9a58eb29d70934,6851bed7b631b39e502d6a59,,,,,,,,,,The person wanted to eat the main dish,,ans,c2
