subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
cwxxb463rx,13794.699999999255,130048,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
cwxxb463rx,12179.099999999627,153703,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The first student had had a good morning,,ans,d4
cwxxb463rx,1548.800000000745,158852,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
cwxxb463rx,16617.5,178432,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c2
cwxxb463rx,1434,182788,67619f40465fdf55ab1e8f93,0,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
cwxxb463rx,17268.200000001118,202824,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The presented presented Feature B,,ans,d2
cwxxb463rx,1066.7000000011176,207016,67619f40465fdf55ab1e8f93,0,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
cwxxb463rx,34579.89999999851,243130,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The presented did not present Feature B,,ans,c1
cwxxb463rx,1451.5999999996275,247804,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
cwxxb463rx,4039.7999999988824,253966,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The first student had had a good morning,,ans,d6
cwxxb463rx,1519.4000000003725,258188,67619f40465fdf55ab1e8f93,0,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,10%,70%,80%,50%,job,0,0,0,1,,,stim,d1
cwxxb463rx,7113.300000000745,267093,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The presented presented Feature B,,ans,d1
cwxxb463rx,1454.800000000745,274906,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
cwxxb463rx,4065.5,285776,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The presenter presented Feature A,,ans,d5
cwxxb463rx,1527.2999999988824,290379,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,80%,50%,10%,50%,group,1,0,0,0,,,stim,c3
cwxxb463rx,16922.10000000149,311412,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The first student had had a good morning,,ans,c3
cwxxb463rx,1349.300000000745,316596,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
cwxxb463rx,11541.5,330354,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The presenter presented Feature A,,ans,c5
cwxxb463rx,5026.700000001118,339301,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
cwxxb463rx,12127,354588,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The first student had not had a good morning,,ans,c4
cwxxb463rx,1582.5999999996275,359259,67619f40465fdf55ab1e8f93,1,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,50%,80%,50%,10%,group,1,1,1,1,,,stim,d7
cwxxb463rx,12864.5,374069,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The first student had had a good morning,,ans,d7
cwxxb463rx,976.2000000011176,377429,67619f40465fdf55ab1e8f93,0,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,10%,70%,80%,50%,job,0,1,1,1,,,stim,d3
cwxxb463rx,8409.300000000745,387683,67619f40465fdf55ab1e8f93,,6851b6145b9a58eb29d70934,6851bdf7c0a9c29ee3ef1ea2,,,,,,,,,,The presented presented Feature B,,ans,d3
