subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
d04994vsau,48856.89999997616,782858,63be7173226d9b8c566ddd44,0,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
d04994vsau,89197.09999999404,917051,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The second student had not had a good morning,,ans,d2
d04994vsau,47120.60000002384,1006045,63be7173226d9b8c566ddd44,0,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
d04994vsau,26955.399999976158,1065404,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
d04994vsau,31253.69999998808,1135466,63be7173226d9b8c566ddd44,1,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
d04994vsau,43909.79999998212,1211141,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The person did not want to eat the dessert,,ans,c2
d04994vsau,2841,1238792,63be7173226d9b8c566ddd44,1,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,50%,80%,50%,10%,job,0,0,0,0,,,stim,c1
d04994vsau,58436.5,1318516,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c1
d04994vsau,17976.399999976158,1343440,63be7173226d9b8c566ddd44,0,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
d04994vsau,31608.79999998212,1451374,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The presenter presented Feature A,,ans,d4
d04994vsau,36377.79999998212,1500388,63be7173226d9b8c566ddd44,0,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
d04994vsau,11667.40000000596,1560065,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The presented did not present Feature B,,ans,c3
d04994vsau,18694.90000000596,1585031,63be7173226d9b8c566ddd44,1,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
d04994vsau,20755.09999999404,1638161,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The main dish was not on the menu,,ans,d1
d04994vsau,51306.10000002384,1710091,63be7173226d9b8c566ddd44,1,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
d04994vsau,27711.30000001192,1753071,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
d04994vsau,14158.09999999404,1771729,63be7173226d9b8c566ddd44,0,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
d04994vsau,12725.59999999404,1794719,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The second student had had a good morning,,ans,d3
d04994vsau,13202.200000017881,1813001,63be7173226d9b8c566ddd44,1,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
d04994vsau,7070.899999976158,1834552,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
d04994vsau,5942.300000011921,1845172,63be7173226d9b8c566ddd44,1,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,80%,50%,10%,50%,cook,1,1,1,1,,,stim,d7
d04994vsau,12806,1876073,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
d04994vsau,10440.199999988079,1891023,63be7173226d9b8c566ddd44,0,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
d04994vsau,28215.70000001788,1932532,63be7173226d9b8c566ddd44,,6851b6145b9a58eb29d70934,6851be1f445954efcc9502be,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d6
