subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
d13qw1gogk,51811.90000003576,1168563,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
d13qw1gogk,21475.100000023842,1237602,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The person did not want to eat the main dish,,ans,c3
d13qw1gogk,27004.80000001192,1316908,678f0bb28ec3307e4f1afb78,1,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
d13qw1gogk,39924.10000002384,1382574,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The second student had had a good morning,,ans,c5
d13qw1gogk,59873.19999998808,1484950,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,10%,70%,80%,50%,job,1,1,1,1,,,stim,d7
d13qw1gogk,60245.5,1604578,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The files underlying Feature B were fine,,ans,d7
d13qw1gogk,1141.5999999642372,1610320,678f0bb28ec3307e4f1afb78,1,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
d13qw1gogk,12252.100000023842,1649064,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The person wanted to eat the dessert,,ans,d4
d13qw1gogk,1446.1000000238419,1653224,678f0bb28ec3307e4f1afb78,1,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
d13qw1gogk,13920.699999988079,1695101,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The second student had not had a good morning,,ans,c4
d13qw1gogk,1503.7999999523163,1699466,678f0bb28ec3307e4f1afb78,1,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
d13qw1gogk,54817.60000002384,1771514,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The person did not want to eat the main dish,,ans,d1
d13qw1gogk,914.3999999761581,1774934,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,50%,10%,50%,80%,job,0,1,0,0,,,stim,c2
d13qw1gogk,38277.39999997616,1832814,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The files underlying Feature B were fine,,ans,c2
d13qw1gogk,1823.4000000357628,1837694,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
d13qw1gogk,10523.400000035763,1873146,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The first student did not attend,,ans,d2
d13qw1gogk,1358,1877777,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
d13qw1gogk,9413.600000023842,1913440,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The second student had had a good morning,,ans,d3
d13qw1gogk,1229.699999988079,1917494,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
d13qw1gogk,25087.30000001192,1954083,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The second student had not had a good morning,,ans,d6
d13qw1gogk,1101.4000000357628,1961461,678f0bb28ec3307e4f1afb78,0,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,10%,50%,80%,50%,group,1,0,1,1,,,stim,d5
d13qw1gogk,6329.699999988079,1982196,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The first student had had a good morning,,ans,d5
d13qw1gogk,1355.3999999761581,1986693,678f0bb28ec3307e4f1afb78,1,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
d13qw1gogk,12733.5,2033998,678f0bb28ec3307e4f1afb78,,6851b6145b9a58eb29d70934,6851bdd44bc6e91097a854a0,,,,,,,,,,The main dish was not on the menu,,ans,c1
