subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
d251rx7fm5,68599.29999998212,1643767,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The person did not want to eat the dessert,,ans,c3
d251rx7fm5,3504.600000023842,1665171,683e43e0f02d95a775d71f07,0,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
d251rx7fm5,116463.19999998808,1835913,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The first student had not had a good morning,,ans,d4
d251rx7fm5,9620.90000000596,2041919,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
d251rx7fm5,36680.20000001788,2104856,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The dessert was not on the menu,,ans,d1
d251rx7fm5,14886.40000000596,2136792,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
d251rx7fm5,63503.79999998212,2214046,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
d251rx7fm5,13025.700000017881,2547968,683e43e0f02d95a775d71f07,0,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
d251rx7fm5,23770.59999999404,2604492,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The main dish was not on the menu,,ans,c1
d251rx7fm5,7949.699999988079,2626981,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
d251rx7fm5,31472.59999999404,2677156,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
d251rx7fm5,3086.0999999940395,3259764,683e43e0f02d95a775d71f07,0,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
d251rx7fm5,48473.19999998808,3321564,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The second student attended,,ans,d6
d251rx7fm5,7192.300000011921,3341425,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
d251rx7fm5,24357.59999999404,3389787,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The presented presented Feature B,,ans,d3
d251rx7fm5,7729.199999988079,3412381,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,80%,50%,10%,70%,cook,1,1,1,0,,,stim,c5
d251rx7fm5,24469.5,3451716,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
d251rx7fm5,8103.799999982119,3470104,683e43e0f02d95a775d71f07,0,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
d251rx7fm5,30961.30000001192,3542445,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The dessert was on the menu,,ans,d7
d251rx7fm5,11266,3567858,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
d251rx7fm5,39974.5,3626681,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The dessert was not on the menu,,ans,c2
d251rx7fm5,9806.799999982119,3649499,683e43e0f02d95a775d71f07,1,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
d251rx7fm5,27717.80000001192,3729280,683e43e0f02d95a775d71f07,,6851b6145b9a58eb29d70934,6851c1fb525ac9b10b91406d,,,,,,,,,,The first student had had a good morning,,ans,d5
