subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
dq9zz4kvh8,19767.200000000186,198123,653703627539f3a8b2ed4af3,1,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
dq9zz4kvh8,36199.89999999944,257828,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The first student had not had a good morning,,ans,d6
dq9zz4kvh8,9831.700000000186,277219,653703627539f3a8b2ed4af3,1,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
dq9zz4kvh8,15239.599999999627,309171,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
dq9zz4kvh8,7991.5,322243,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
dq9zz4kvh8,9815.400000000373,360363,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
dq9zz4kvh8,1591.2000000001863,366067,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
dq9zz4kvh8,6295.700000000186,384747,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
dq9zz4kvh8,8903,397435,653703627539f3a8b2ed4af3,1,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
dq9zz4kvh8,17495.299999999814,426267,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The first student had not had a good morning,,ans,d1
dq9zz4kvh8,1751,431811,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,50%,80%,50%,job,1,0,0,0,,,stim,c3
dq9zz4kvh8,4448.0999999996275,468099,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The presented did not present Feature B,,ans,c3
dq9zz4kvh8,8095.5,479898,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
dq9zz4kvh8,3055.2999999998137,499458,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c4
dq9zz4kvh8,2719.2999999998137,506434,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
dq9zz4kvh8,6056.100000000559,525987,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The person wanted to eat the dessert,,ans,d7
dq9zz4kvh8,975,530234,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
dq9zz4kvh8,26487.60000000056,570450,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The first student had had a good morning,,ans,c5
dq9zz4kvh8,1622.5999999996275,575954,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,70%,80%,50%,cook,0,1,0,1,,,stim,d2
dq9zz4kvh8,9648.200000000186,600683,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
dq9zz4kvh8,4415.299999999814,610186,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
dq9zz4kvh8,4631.9000000003725,634898,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The second student did not attend,,ans,d4
dq9zz4kvh8,5583.5,646722,653703627539f3a8b2ed4af3,0,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
dq9zz4kvh8,14167.699999999255,673290,653703627539f3a8b2ed4af3,,6851b6145b9a58eb29d70934,6851be4be971519a41e14bca,,,,,,,,,,The presenter did not present Feature A,,ans,c1
