subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
dwew7qprhn,15435,356882,566feba6b937e400052d33b2,1,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
dwew7qprhn,32360.899999999965,409966,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The dessert was not on the menu,,ans,c3
dwew7qprhn,20288.300000000047,478900,566feba6b937e400052d33b2,1,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
dwew7qprhn,23923.79999999993,515227,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The main dish was not on the menu,,ans,c1
dwew7qprhn,12138.70000000007,560271,566feba6b937e400052d33b2,0,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
dwew7qprhn,11424.900000000023,587369,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The main dish was not on the menu,,ans,c2
dwew7qprhn,15865.20000000007,625315,566feba6b937e400052d33b2,0,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
dwew7qprhn,14145.29999999993,652767,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
dwew7qprhn,21592.5,688732,566feba6b937e400052d33b2,0,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
dwew7qprhn,13315.400000000023,712001,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
dwew7qprhn,4574.100000000093,727405,566feba6b937e400052d33b2,0,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
dwew7qprhn,16195,758536,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
dwew7qprhn,25062.800000000047,794347,566feba6b937e400052d33b2,1,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,80%,50%,10%,70%,job,1,1,1,0,,,stim,c5
dwew7qprhn,16483.800000000047,823937,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
dwew7qprhn,4645.400000000023,845229,566feba6b937e400052d33b2,0,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
dwew7qprhn,9332.099999999977,865187,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The second student had had a good morning,,ans,d3
dwew7qprhn,12003.600000000093,896430,566feba6b937e400052d33b2,1,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
dwew7qprhn,11786.600000000093,917943,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
dwew7qprhn,22783.300000000047,956217,566feba6b937e400052d33b2,1,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,80%,50%,10%,50%,group,1,1,0,1,,,stim,d6
dwew7qprhn,20811,1017791,566feba6b937e400052d33b2,0,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
dwew7qprhn,11569.90000000014,1042117,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
dwew7qprhn,11352.399999999907,1066494,566feba6b937e400052d33b2,1,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
dwew7qprhn,14934.699999999953,1091165,566feba6b937e400052d33b2,,6851b6145b9a58eb29d70934,6851bde1da1151b8bce83b9b,,,,,,,,,,The first student did not attend,,ans,d1
