subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
eao4oubdd7,30536.80000001192,1330388,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
eao4oubdd7,77249.29999999702,1443004,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The first student had had a good morning,,ans,c1
eao4oubdd7,4171.600000008941,1752478,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,10%,50%,80%,50%,job,1,1,0,1,,,stim,d6
eao4oubdd7,16503.19999998808,1777802,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The presented did not present Feature B,,ans,d6
eao4oubdd7,8000.20000000298,1796789,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
eao4oubdd7,4807.29999999702,1806264,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The second student did not attend,,ans,d7
eao4oubdd7,2868.5,1815649,683798d0aaade4e76ddd3451,1,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
eao4oubdd7,4813.29999999702,1823768,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The second student did not attend,,ans,c3
eao4oubdd7,1456.5999999940395,1832101,683798d0aaade4e76ddd3451,1,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
eao4oubdd7,13194.59999999404,1855078,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The presenter did not present Feature A,,ans,c2
eao4oubdd7,952.7000000029802,1962683,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
eao4oubdd7,6364.70000000298,1973209,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The presented did not present Feature B,,ans,d4
eao4oubdd7,1218,1977759,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
eao4oubdd7,19799.70000000298,2000408,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
eao4oubdd7,1583.6000000089407,2023225,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,10%,50%,80%,50%,group,0,1,1,1,,,stim,d3
eao4oubdd7,5582.4000000059605,2032473,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The second student had had a good morning,,ans,d3
eao4oubdd7,918.9000000059605,2037303,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,10%,70%,80%,50%,group,0,1,0,1,,,stim,d2
eao4oubdd7,4870.100000008941,2044752,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The first student did not attend,,ans,d2
eao4oubdd7,1166.800000011921,2049178,683798d0aaade4e76ddd3451,1,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
eao4oubdd7,4121.899999991059,2055603,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The dessert was not on the menu,,ans,c4
eao4oubdd7,937.7999999970198,2059544,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,10%,50%,80%,50%,cook,0,0,0,1,,,stim,d1
eao4oubdd7,6634.899999991059,2068181,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The person wanted to eat the main dish,,ans,d1
eao4oubdd7,1008.6999999880791,2072703,683798d0aaade4e76ddd3451,0,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
eao4oubdd7,11719.60000000894,2091097,683798d0aaade4e76ddd3451,,6851b6145b9a58eb29d70934,6851be5ef96abd7e74c024c6,,,,,,,,,,The dessert was on the menu,,ans,d5
