subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ej73do989t,6840.70000000298,1761293,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
ej73do989t,41327.5,1820264,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The presenter presented Feature A,,ans,d7
ej73do989t,5865.9000000059605,1844756,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
ej73do989t,22299.80000001192,1881244,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The first student did not attend,,ans,c2
ej73do989t,48979.30000001192,1967710,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The main dish was not on the menu,,ans,c5
ej73do989t,6473.300000011921,1984011,671fb7534780312b6355a4c1,0,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
ej73do989t,8232.79999999702,2005603,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
ej73do989t,6022.899999991059,2019820,671fb7534780312b6355a4c1,0,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
ej73do989t,39036.59999999404,2072299,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The presented did not present Feature B,,ans,d5
ej73do989t,6628.100000008941,2091197,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,80%,50%,10%,70%,cook,1,1,0,0,,,stim,c4
ej73do989t,39262.19999998808,2149620,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The person did not want to eat the main dish,,ans,c4
ej73do989t,6288.70000000298,2163100,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
ej73do989t,34286.5,2218173,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The presenter presented Feature A,,ans,c3
ej73do989t,6593.399999991059,2232558,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
ej73do989t,18651.09999999404,2267886,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
ej73do989t,6448.100000008941,2283108,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
ej73do989t,15946.10000000894,2319960,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The main dish was not on the menu,,ans,c1
ej73do989t,6762.5,2339005,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
ej73do989t,8676.79999999702,2369570,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
ej73do989t,7784.5,2385578,671fb7534780312b6355a4c1,0,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,10%,50%,80%,50%,job,1,0,0,1,,,stim,d4
ej73do989t,27305.39999999106,2431331,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
ej73do989t,8792.39999999106,2455901,671fb7534780312b6355a4c1,1,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
ej73do989t,42356.20000000298,2516179,671fb7534780312b6355a4c1,,6851b6145b9a58eb29d70934,6851bea219c7e315d9b68f20,,,,,,,,,,The second student did not attend,,ans,d1
