subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
eyqkq4ugmu,4741.5999999940395,71341,684a04c2533e5994f0d87442,0,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,10%,70%,80%,50%,group,0,0,0,0,,,stim,c1
eyqkq4ugmu,5458.0999999940395,78064,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The first student did not attend,,ans,c1
eyqkq4ugmu,774.2999999821186,89379,684a04c2533e5994f0d87442,0,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
eyqkq4ugmu,6491.0999999940395,96888,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The dessert was on the menu,,ans,d3
eyqkq4ugmu,737.2999999821186,102206,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,50%,80%,50%,10%,cook,1,1,0,1,,,stim,d6
eyqkq4ugmu,2500.5,106741,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The main dish was not on the menu,,ans,d6
eyqkq4ugmu,1178.800000011921,111226,684a04c2533e5994f0d87442,0,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
eyqkq4ugmu,2461.0999999940395,115897,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The second student did not attend,,ans,d2
eyqkq4ugmu,814.2000000178814,120674,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
eyqkq4ugmu,4648.0999999940395,126510,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The presenter presented Feature A,,ans,c3
eyqkq4ugmu,700.5,129654,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
eyqkq4ugmu,10677.699999988079,141388,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The person wanted to eat the dessert,,ans,c2
eyqkq4ugmu,1167.9000000059605,145111,684a04c2533e5994f0d87442,0,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
eyqkq4ugmu,13853.799999982119,164212,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The presented did not present Feature B,,ans,c5
eyqkq4ugmu,709.9000000059605,167556,684a04c2533e5994f0d87442,0,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
eyqkq4ugmu,2326.5,171246,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The person wanted to eat the dessert,,ans,c4
eyqkq4ugmu,710.2999999821186,174680,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
eyqkq4ugmu,3574.699999988079,179961,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The person wanted to eat the dessert,,ans,d5
eyqkq4ugmu,717,185798,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,80%,50%,10%,70%,group,1,0,0,1,,,stim,d4
eyqkq4ugmu,3917.699999988079,191268,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The second student had had a good morning,,ans,d4
eyqkq4ugmu,643.4000000059605,195482,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
eyqkq4ugmu,2424.5,200824,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The presented did not present Feature B,,ans,d7
eyqkq4ugmu,787.5,205964,684a04c2533e5994f0d87442,1,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
eyqkq4ugmu,1839.300000011921,209425,684a04c2533e5994f0d87442,,6851b6145b9a58eb29d70934,6851caeae2aac2d89fdf6c84,,,,,,,,,,The second student had not had a good morning,,ans,d1
