subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fg7dm1686j,13463.90000000596,38515,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
fg7dm1686j,20952.59999999404,81555,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The dessert was on the menu,,ans,d3
fg7dm1686j,1636.5,88975,675b6bf5887bccb7fad6c44d,0,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,10%,50%,80%,50%,cook,1,0,0,1,,,stim,d4
fg7dm1686j,24048.40000000596,116173,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The person wanted to eat the main dish,,ans,d4
fg7dm1686j,975.0999999940395,123558,675b6bf5887bccb7fad6c44d,0,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
fg7dm1686j,8540.5,133615,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The first student attended,,ans,c3
fg7dm1686j,1090.0999999940395,137105,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
fg7dm1686j,22224.09999999404,163495,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
fg7dm1686j,1270.800000011921,170632,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
fg7dm1686j,15010.5,188159,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The second student had had a good morning,,ans,c1
fg7dm1686j,1013.1000000238419,194043,675b6bf5887bccb7fad6c44d,0,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
fg7dm1686j,24129.69999998808,221949,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The dessert was on the menu,,ans,c2
fg7dm1686j,1306.199999988079,226732,675b6bf5887bccb7fad6c44d,0,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
fg7dm1686j,12219.699999988079,241839,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The second student had had a good morning,,ans,d6
fg7dm1686j,915.7999999821186,245187,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,80%,50%,10%,50%,job,0,0,0,1,,,stim,d1
fg7dm1686j,10732.5,257960,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The presenter presented Feature A,,ans,d1
fg7dm1686j,1032.6000000238419,356029,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
fg7dm1686j,8532.800000011921,368341,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The first student had had a good morning,,ans,d2
fg7dm1686j,1365.300000011921,374262,675b6bf5887bccb7fad6c44d,0,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
fg7dm1686j,12687.59999999404,389776,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The second student had had a good morning,,ans,d7
fg7dm1686j,890.4000000059605,393028,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
fg7dm1686j,23760.399999976158,419384,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The person wanted to eat the main dish,,ans,c5
fg7dm1686j,1564.4000000059605,423670,675b6bf5887bccb7fad6c44d,1,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
fg7dm1686j,11918.40000000596,438186,675b6bf5887bccb7fad6c44d,,6851b6145b9a58eb29d70934,6851bfc1af9185448844fd2d,,,,,,,,,,The main dish was on the menu,,ans,c4
