subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fhb4dtgvbk,50198.60000000149,1134275,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
fhb4dtgvbk,82579.39999999851,1304726,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The second student had had a good morning,,ans,d3
fhb4dtgvbk,26717.69999999553,1361618,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,80%,50%,10%,70%,job,1,0,0,1,,,stim,d4
fhb4dtgvbk,47037.5,1464608,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
fhb4dtgvbk,15249.79999999702,1511352,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
fhb4dtgvbk,50498.39999999851,1618971,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The presented did not present Feature B,,ans,c3
fhb4dtgvbk,18726.89999999851,1669360,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,80%,50%,10%,70%,group,1,1,0,0,,,stim,c4
fhb4dtgvbk,50105.5,1776560,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The first student had not had a good morning,,ans,c4
fhb4dtgvbk,13744,1814802,6834cba83384d60a3cd25df8,0,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
fhb4dtgvbk,53655.80000000447,1918130,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
fhb4dtgvbk,13921.5,1958734,6834cba83384d60a3cd25df8,0,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
fhb4dtgvbk,56515.10000000149,2065359,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The first student had not had a good morning,,ans,d6
fhb4dtgvbk,18569.5,2113903,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
fhb4dtgvbk,43755,2213549,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The first student had had a good morning,,ans,d5
fhb4dtgvbk,14337.39999999851,2254118,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
fhb4dtgvbk,44284.39999999851,2348793,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The main dish was not on the menu,,ans,c1
fhb4dtgvbk,13703,2390447,6834cba83384d60a3cd25df8,0,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
fhb4dtgvbk,42373.60000000149,2487554,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
fhb4dtgvbk,14024.70000000298,2533075,6834cba83384d60a3cd25df8,0,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,50%,10%,50%,80%,group,1,1,1,1,,,stim,d7
fhb4dtgvbk,88543.30000000447,2677917,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The first student had had a good morning,,ans,d7
fhb4dtgvbk,15220.89999999851,2720878,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,50%,80%,50%,10%,group,1,1,1,0,,,stim,c5
fhb4dtgvbk,50646.79999999702,2826067,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The second student had had a good morning,,ans,c5
fhb4dtgvbk,18764.30000000447,2866264,6834cba83384d60a3cd25df8,1,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
fhb4dtgvbk,52659.10000000149,2977972,6834cba83384d60a3cd25df8,,6851b6145b9a58eb29d70934,6851be6c2d6c1e141a716964,,,,,,,,,,The main dish was not on the menu,,ans,d1
