subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fn69yhn9p9,47142.79999998212,618544,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
fn69yhn9p9,52851,735545,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
fn69yhn9p9,42508.09999999404,809157,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,10%,50%,80%,50%,job,1,1,1,1,,,stim,d7
fn69yhn9p9,59204.59999999404,902068,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d7
fn69yhn9p9,8195.5,925948,6843f76b2aaf5170692ad4d6,1,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
fn69yhn9p9,28109,976304,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The main dish was not on the menu,,ans,d1
fn69yhn9p9,1694.1000000238419,983714,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,10%,70%,80%,50%,job,1,0,0,1,,,stim,d4
fn69yhn9p9,15374.699999988079,1014269,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
fn69yhn9p9,1071.0999999940395,1019870,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
fn69yhn9p9,4258.800000011921,1064039,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
fn69yhn9p9,14697.40000000596,1127166,6843f76b2aaf5170692ad4d6,1,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
fn69yhn9p9,9465,1153874,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The first student had had a good morning,,ans,d5
fn69yhn9p9,1445.199999988079,1161477,6843f76b2aaf5170692ad4d6,1,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
fn69yhn9p9,24637.5,1211962,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
fn69yhn9p9,1319.9000000059605,1217894,6843f76b2aaf5170692ad4d6,1,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
fn69yhn9p9,29219.5,1278083,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The main dish was not on the menu,,ans,c2
fn69yhn9p9,1573.5,1285169,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
fn69yhn9p9,5968.699999988079,1313534,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c3
fn69yhn9p9,1903.4000000059605,1337375,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
fn69yhn9p9,29714.90000000596,1385145,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The first student had had a good morning,,ans,c5
fn69yhn9p9,1761.2999999821186,1391819,6843f76b2aaf5170692ad4d6,1,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
fn69yhn9p9,22004.40000000596,1445062,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The person wanted to eat the main dish,,ans,c1
fn69yhn9p9,1199.0999999940395,1456093,6843f76b2aaf5170692ad4d6,0,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,50%,10%,50%,80%,cook,1,1,0,0,,,stim,c4
fn69yhn9p9,4514.0999999940395,1482983,6843f76b2aaf5170692ad4d6,,6851b6145b9a58eb29d70934,6851bdd1908b9c631c63aa00,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
