subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fopgmw0zhn,3825.900000002235,358340,650b03136ab3d4c832d98b71,0,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
fopgmw0zhn,26408.199999999255,389977,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
fopgmw0zhn,2376.5,399385,650b03136ab3d4c832d98b71,1,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,80%,50%,10%,50%,cook,0,0,0,0,,,stim,c1
fopgmw0zhn,33860.5,438465,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The main dish was not on the menu,,ans,c1
fopgmw0zhn,2235.89999999851,448844,650b03136ab3d4c832d98b71,0,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,10%,70%,80%,50%,cook,1,0,1,1,,,stim,d5
fopgmw0zhn,27279,480608,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
fopgmw0zhn,2396.199999999255,489306,650b03136ab3d4c832d98b71,1,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
fopgmw0zhn,30616.199999999255,525241,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The first student had not had a good morning,,ans,d6
fopgmw0zhn,2186.5,533552,650b03136ab3d4c832d98b71,0,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
fopgmw0zhn,28325.29999999702,566562,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
fopgmw0zhn,1897.300000000745,574322,650b03136ab3d4c832d98b71,1,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,80%,50%,10%,70%,job,1,0,0,0,,,stim,c3
fopgmw0zhn,21720.099999997765,599952,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The presented did not present Feature B,,ans,c3
fopgmw0zhn,2218.89999999851,607807,650b03136ab3d4c832d98b71,1,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
fopgmw0zhn,21156.199999999255,632900,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The main dish was not on the menu,,ans,c2
fopgmw0zhn,2215.400000002235,640552,650b03136ab3d4c832d98b71,1,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
fopgmw0zhn,19945,665589,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
fopgmw0zhn,2420.400000002235,673368,650b03136ab3d4c832d98b71,0,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
fopgmw0zhn,20751.800000000745,697993,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The person did not want to eat the dessert,,ans,d2
fopgmw0zhn,1796.1000000014901,703960,650b03136ab3d4c832d98b71,1,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
fopgmw0zhn,27906.599999997765,735719,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The files underlying Feature B were fine,,ans,d7
fopgmw0zhn,2312,742698,650b03136ab3d4c832d98b71,0,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,10%,50%,80%,50%,job,1,1,0,0,,,stim,c4
fopgmw0zhn,33686.699999999255,781296,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The files underlying Feature A were corrupted,,ans,c4
fopgmw0zhn,1975.0999999977648,787299,650b03136ab3d4c832d98b71,0,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
fopgmw0zhn,363339.09999999776,1155300,650b03136ab3d4c832d98b71,,6851b6145b9a58eb29d70934,6851c66d79f711ac34893396,,,,,,,,,,The first student did not attend,,ans,d1
