subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fp4n8r44ta,1108.9000000059605,108108,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
fp4n8r44ta,6250,116036,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The presented did not present Feature B,,ans,c3
fp4n8r44ta,1561.4000000059605,122248,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
fp4n8r44ta,4662.20000000298,131284,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The presenter presented Feature A,,ans,d4
fp4n8r44ta,1882.8999999910593,136280,6847159e081e26ac577d7ea6,0,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
fp4n8r44ta,12105.20000000298,151923,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The main dish was not on the menu,,ans,d3
fp4n8r44ta,1174,156315,6847159e081e26ac577d7ea6,0,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,10%,70%,80%,50%,cook,0,1,0,0,,,stim,c2
fp4n8r44ta,8725.70000000298,168156,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The dessert was on the menu,,ans,c2
fp4n8r44ta,1059.2000000029802,173559,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
fp4n8r44ta,7079.9000000059605,182374,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The dessert was on the menu,,ans,c5
fp4n8r44ta,903.1000000089407,190980,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
fp4n8r44ta,10842.70000000298,204131,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The main dish was not on the menu,,ans,c1
fp4n8r44ta,909.3999999910593,214260,6847159e081e26ac577d7ea6,0,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,10%,50%,80%,cook,0,1,0,1,,,stim,d2
fp4n8r44ta,6759.5,223753,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The main dish was not on the menu,,ans,d2
fp4n8r44ta,1152.7999999970198,229765,6847159e081e26ac577d7ea6,0,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,10%,50%,80%,job,1,0,1,1,,,stim,d5
fp4n8r44ta,7107.300000011921,239571,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The presenter presented Feature A,,ans,d5
fp4n8r44ta,1358.4000000059605,244819,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
fp4n8r44ta,5647,253668,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The presented presented Feature B,,ans,d6
fp4n8r44ta,2105.5999999940395,260833,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
fp4n8r44ta,7125.4000000059605,273403,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The first student did not attend,,ans,d1
fp4n8r44ta,1163,278620,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,80%,50%,10%,70%,job,1,1,0,0,,,stim,c4
fp4n8r44ta,12825.70000000298,293511,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The presenter presented Feature A,,ans,c4
fp4n8r44ta,1184.5999999940395,298254,6847159e081e26ac577d7ea6,1,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,50%,80%,50%,10%,cook,1,1,1,1,,,stim,d7
fp4n8r44ta,5405.79999999702,307621,6847159e081e26ac577d7ea6,,6851b6145b9a58eb29d70934,6851be7a30e1d3f09738dfc1,,,,,,,,,,The main dish was on the menu,,ans,d7
