subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fqkhr9hh6c,18161.600000023842,100090,677c42d0878568e38dae3e84,0,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
fqkhr9hh6c,14156.099999964237,127620,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The main dish was not on the menu,,ans,d3
fqkhr9hh6c,11809.300000011921,157662,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,50%,80%,50%,10%,job,0,0,0,1,,,stim,d1
fqkhr9hh6c,31727.599999964237,222405,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The presenter did not present Feature A,,ans,d1
fqkhr9hh6c,12780.599999964237,251220,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,80%,50%,10%,50%,cook,1,1,0,1,,,stim,d6
fqkhr9hh6c,30869.69999998808,296414,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
fqkhr9hh6c,11782.199999988079,324606,677c42d0878568e38dae3e84,0,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,10%,70%,80%,50%,job,1,1,1,1,,,stim,d7
fqkhr9hh6c,43029.69999998808,380496,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The files underlying Feature B were fine,,ans,d7
fqkhr9hh6c,14967.300000011921,410058,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,80%,50%,10%,50%,group,0,0,0,0,,,stim,c1
fqkhr9hh6c,30258.30000001192,455671,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The first student did not attend,,ans,c1
fqkhr9hh6c,11816.800000011921,482389,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,50%,80%,50%,10%,cook,1,0,0,0,,,stim,c3
fqkhr9hh6c,27205.900000035763,523917,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The dessert was not on the menu,,ans,c3
fqkhr9hh6c,11396.700000047684,549799,677c42d0878568e38dae3e84,0,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,10%,70%,80%,50%,cook,1,1,1,0,,,stim,c5
fqkhr9hh6c,25527,589728,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The person wanted to eat the main dish,,ans,c5
fqkhr9hh6c,11556,617373,677c42d0878568e38dae3e84,0,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,50%,10%,50%,80%,cook,1,0,1,1,,,stim,d5
fqkhr9hh6c,30774.19999998808,662401,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
fqkhr9hh6c,10323.299999952316,685993,677c42d0878568e38dae3e84,0,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
fqkhr9hh6c,31949.5,731813,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The presenter did not present Feature A,,ans,c2
fqkhr9hh6c,6333,755115,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,80%,50%,10%,70%,cook,0,1,0,1,,,stim,d2
fqkhr9hh6c,26745.400000035763,796320,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The person wanted to eat the main dish,,ans,d2
fqkhr9hh6c,3241,807485,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
fqkhr9hh6c,23974.200000047684,845402,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The presenter presented Feature A,,ans,c4
fqkhr9hh6c,12920.700000047684,876171,677c42d0878568e38dae3e84,1,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
fqkhr9hh6c,44366.19999998808,931063,677c42d0878568e38dae3e84,,6851b6145b9a58eb29d70934,6851be522732ac44549a236c,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
