subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
fz6ls3b8k7,37260.39999999851,313538,669a4f388b2de8df723faf1e,1,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,80%,50%,10%,50%,group,0,0,0,1,,,stim,d1
fz6ls3b8k7,34023,365095,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student did not attend,,ans,d1
fz6ls3b8k7,26663.80000000447,405037,669a4f388b2de8df723faf1e,1,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
fz6ls3b8k7,18382,443767,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
fz6ls3b8k7,16415.5,470927,669a4f388b2de8df723faf1e,1,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
fz6ls3b8k7,17023.09999999404,514162,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The dessert was not on the menu,,ans,c3
fz6ls3b8k7,9024.39999999851,537084,669a4f388b2de8df723faf1e,0,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,10%,70%,80%,50%,group,1,1,1,0,,,stim,c5
fz6ls3b8k7,25918.10000000149,578614,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student had had a good morning,,ans,c5
fz6ls3b8k7,7791.60000000149,599409,669a4f388b2de8df723faf1e,1,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,50%,80%,50%,10%,group,1,0,1,1,,,stim,d5
fz6ls3b8k7,21173.70000000298,630406,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student had had a good morning,,ans,d5
fz6ls3b8k7,12372.60000000149,650837,669a4f388b2de8df723faf1e,1,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,80%,50%,10%,50%,job,0,1,1,1,,,stim,d3
fz6ls3b8k7,7116.80000000447,677176,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
fz6ls3b8k7,7603.5,694629,669a4f388b2de8df723faf1e,0,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
fz6ls3b8k7,4810.80000000447,709367,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student did not attend,,ans,c2
fz6ls3b8k7,18987.79999999702,733528,669a4f388b2de8df723faf1e,0,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
fz6ls3b8k7,11076.29999999702,761703,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
fz6ls3b8k7,5537.5,784266,669a4f388b2de8df723faf1e,0,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
fz6ls3b8k7,15138.5,809542,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student had not had a good morning,,ans,c4
fz6ls3b8k7,12415.29999999702,828540,669a4f388b2de8df723faf1e,0,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,50%,10%,50%,80%,group,0,1,0,1,,,stim,d2
fz6ls3b8k7,8457.29999999702,851179,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The second student had not had a good morning,,ans,d2
fz6ls3b8k7,7329.39999999851,863144,669a4f388b2de8df723faf1e,1,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
fz6ls3b8k7,5532,878122,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student did not attend,,ans,c1
fz6ls3b8k7,7967,891900,669a4f388b2de8df723faf1e,0,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,10%,50%,80%,50%,group,1,1,0,1,,,stim,d6
fz6ls3b8k7,7542.89999999851,907839,669a4f388b2de8df723faf1e,,6851b6145b9a58eb29d70934,6851c5076e367aeec5618f79,,,,,,,,,,The first student had not had a good morning,,ans,d6
