subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
hjouzfulh2,18806.90000000596,1127254,667871d17d7fdf0358f82a28,0,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,10%,70%,80%,50%,cook,1,0,0,0,,,stim,c3
hjouzfulh2,73601.79999999702,1243702,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The dessert was not on the menu,,ans,c3
hjouzfulh2,8166,1268662,667871d17d7fdf0358f82a28,0,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,10%,50%,80%,50%,job,0,1,0,0,,,stim,c2
hjouzfulh2,32902.39999999106,1321513,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
hjouzfulh2,1060.7999999970198,1335017,667871d17d7fdf0358f82a28,1,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,80%,50%,10%,50%,group,1,0,0,1,,,stim,d4
hjouzfulh2,43960.09999999404,1397130,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The first student had not had a good morning,,ans,d4
hjouzfulh2,13262.699999988079,1424393,667871d17d7fdf0358f82a28,0,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,50%,10%,50%,80%,group,0,1,1,1,,,stim,d3
hjouzfulh2,27067.80000001192,1471715,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The second student had had a good morning,,ans,d3
hjouzfulh2,12012.5,1512237,667871d17d7fdf0358f82a28,0,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,50%,10%,50%,80%,job,1,1,1,1,,,stim,d7
hjouzfulh2,30843.40000000596,1560784,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The files underlying Feature B were fine,,ans,d7
hjouzfulh2,11141.70000000298,1582096,667871d17d7fdf0358f82a28,1,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,80%,50%,10%,50%,job,1,1,0,1,,,stim,d6
hjouzfulh2,27964.79999999702,1626299,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d6
hjouzfulh2,9757.29999999702,1649328,667871d17d7fdf0358f82a28,0,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,50%,10%,50%,80%,job,0,0,0,0,,,stim,c1
hjouzfulh2,60109.40000000596,1732357,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The presented did not present Feature B,,ans,c1
hjouzfulh2,1257.8999999910593,1745911,667871d17d7fdf0358f82a28,0,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,10%,70%,80%,50%,cook,0,1,0,1,,,stim,d2
hjouzfulh2,33434.70000000298,1782357,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The person did not want to eat the main dish,,ans,d2
hjouzfulh2,1187.9000000059605,1786513,667871d17d7fdf0358f82a28,1,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
hjouzfulh2,30766.10000000894,1818888,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The files underlying Feature A were fine,,ans,c5
hjouzfulh2,914.7999999970198,1824101,667871d17d7fdf0358f82a28,1,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
hjouzfulh2,31406.89999999106,1857163,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
hjouzfulh2,1250.2000000029802,1861702,667871d17d7fdf0358f82a28,1,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,80%,50%,10%,50%,group,1,1,0,0,,,stim,c4
hjouzfulh2,38548.79999999702,1903256,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The first student had not had a good morning,,ans,c4
hjouzfulh2,1431.2000000029802,1927065,667871d17d7fdf0358f82a28,1,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,50%,80%,50%,10%,cook,0,0,0,1,,,stim,d1
hjouzfulh2,25845.80000001192,1954778,667871d17d7fdf0358f82a28,,6851b6145b9a58eb29d70934,6851bdfa4bc6e91097a854af,,,,,,,,,,The person wanted to eat the main dish,,ans,d1
