subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
hqzd6whfx8,16544.400000035763,535482,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
hqzd6whfx8,30303.400000035763,589278,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The main dish was not on the menu,,ans,d1
hqzd6whfx8,13561.200000047684,611989,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,10%,70%,80%,50%,cook,1,1,0,1,,,stim,d6
hqzd6whfx8,50593.19999998808,680799,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
hqzd6whfx8,10800.199999988079,730545,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
hqzd6whfx8,22512.400000035763,773859,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The second student had not had a good morning,,ans,c4
hqzd6whfx8,3403.7000000476837,783320,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,50%,10%,50%,80%,cook,0,1,0,0,,,stim,c2
hqzd6whfx8,80582.30000001192,871190,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The dessert was not on the menu,,ans,c2
hqzd6whfx8,2061,878282,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,10%,50%,80%,50%,group,1,0,0,0,,,stim,c3
hqzd6whfx8,19399.69999998808,916450,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The second student did not attend,,ans,c3
hqzd6whfx8,98398.10000002384,1021322,67e8e88ed0713752dc570969,1,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,80%,50%,10%,50%,job,1,1,1,1,,,stim,d7
hqzd6whfx8,21692.80000001192,1057900,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
hqzd6whfx8,2664.699999988079,1065466,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,10%,70%,80%,50%,cook,1,0,0,1,,,stim,d4
hqzd6whfx8,17733.599999964237,1087749,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The dessert was not on the menu,,ans,d4
hqzd6whfx8,69019.5,1161258,67e8e88ed0713752dc570969,0,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
hqzd6whfx8,26614.100000023842,1194255,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
hqzd6whfx8,3096,1202036,67e8e88ed0713752dc570969,1,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,80%,50%,10%,70%,group,1,1,1,0,,,stim,c5
hqzd6whfx8,40286.80000001192,1257816,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The first student attended,,ans,c5
hqzd6whfx8,1467.0999999642372,1266233,67e8e88ed0713752dc570969,1,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
hqzd6whfx8,26193.600000023842,1295834,67e8e88ed0713752dc570969,,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,,,,,,,,,,The first student attended,,ans,d5
hqzd6whfx8,1776.800000011921,1303381,67e8e88ed0713752dc570969,1,6851b6145b9a58eb29d70934,6851bdf25365248260ac18c1,80%,50%,10%,50%,job,0,1,0,1,,,stim,d2
