subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
jlmz5uayoe,9986.400000002235,930989,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
jlmz5uayoe,53670.300000000745,1012024,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The first student attended,,ans,d7
jlmz5uayoe,79115.5,1102906,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,50%,10%,50%,80%,cook,0,1,1,1,,,stim,d3
jlmz5uayoe,14750.800000000745,1184981,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
jlmz5uayoe,28044.89999999851,1270194,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,50%,10%,50%,80%,cook,1,0,0,0,,,stim,c3
jlmz5uayoe,24788.5,1303048,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The person did not want to eat the main dish,,ans,c3
jlmz5uayoe,6648,1318591,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
jlmz5uayoe,35303,1362917,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d6
jlmz5uayoe,1840.0999999977648,1420943,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
jlmz5uayoe,172536.30000000075,1615011,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The presented did not present Feature B,,ans,d1
jlmz5uayoe,1865.3999999985099,1626078,682e4b271aa255460b0feaa6,1,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,80%,50%,10%,50%,group,0,1,0,1,,,stim,d2
jlmz5uayoe,15744.699999999255,1662539,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The first student did not attend,,ans,d2
jlmz5uayoe,3256.89999999851,1672999,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
jlmz5uayoe,22453.60000000149,1698841,682e4b271aa255460b0feaa6,,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
jlmz5uayoe,2619,1710318,682e4b271aa255460b0feaa6,0,6851b6145b9a58eb29d70934,6851bf945dc45f8b6d8fc3c9,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
