subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
js8aj4m2s8,14380.899999856949,151694,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,10%,50%,80%,50%,cook,1,0,1,1,,,stim,d5
js8aj4m2s8,29781.5,196679,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
js8aj4m2s8,9849.799999952316,217980,6575c7da000442e5a54f5e24,1,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
js8aj4m2s8,16198.599999904633,244237,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The presenter presented Feature A,,ans,c3
js8aj4m2s8,8181.599999904633,262361,6575c7da000442e5a54f5e24,1,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
js8aj4m2s8,22715.199999809265,298976,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The second student had not had a good morning,,ans,d2
js8aj4m2s8,5464.899999856949,310775,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,10%,70%,80%,50%,cook,0,1,1,1,,,stim,d3
js8aj4m2s8,17681.599999904633,342009,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The person wanted to eat the dessert,,ans,d3
js8aj4m2s8,6681.799999952316,353775,6575c7da000442e5a54f5e24,1,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
js8aj4m2s8,13231.799999952316,374610,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The first student did not attend,,ans,c1
js8aj4m2s8,4399,383910,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
js8aj4m2s8,12915.299999952316,408710,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The first student had not had a good morning,,ans,c4
js8aj4m2s8,8748.599999904633,421026,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,50%,10%,50%,80%,cook,1,1,0,1,,,stim,d6
js8aj4m2s8,10899.600000143051,446277,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The person did not want to eat the dessert,,ans,d6
js8aj4m2s8,6330.200000047684,455359,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
js8aj4m2s8,8631.899999856949,474144,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The first student had had a good morning,,ans,d7
js8aj4m2s8,7681.599999904633,484593,6575c7da000442e5a54f5e24,1,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
js8aj4m2s8,4632.100000143051,496527,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The dessert was on the menu,,ans,c5
js8aj4m2s8,10765.399999856949,513194,6575c7da000442e5a54f5e24,1,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,80%,50%,10%,70%,job,0,0,0,1,,,stim,d1
js8aj4m2s8,8798.400000095367,535361,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The presenter did not present Feature A,,ans,d1
js8aj4m2s8,6414.5,546343,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,10%,70%,80%,50%,group,0,1,0,0,,,stim,c2
js8aj4m2s8,4031.7999999523163,557528,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The first student did not attend,,ans,c2
js8aj4m2s8,5265.100000143051,566844,6575c7da000442e5a54f5e24,0,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,50%,10%,50%,80%,cook,1,0,0,1,,,stim,d4
js8aj4m2s8,10138.899999856949,585385,6575c7da000442e5a54f5e24,,6851b6145b9a58eb29d70934,6851bdf8ae6ebdb3b253bf5c,,,,,,,,,,The person wanted to eat the main dish,,ans,d4
