subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
jx0mmm4wwk,23239.60000000894,739841,68361c58cf6af261dcc084dc,1,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,50%,80%,50%,10%,cook,0,1,1,1,,,stim,d3
jx0mmm4wwk,73118.20000000298,886397,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The main dish was not on the menu,,ans,d3
jx0mmm4wwk,19495.5,960006,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
jx0mmm4wwk,76789.89999999106,1083909,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The first student had had a good morning,,ans,d7
jx0mmm4wwk,31046.70000000298,1176547,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
jx0mmm4wwk,26401.59999999404,1244917,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The first student had not had a good morning,,ans,c4
jx0mmm4wwk,33175.5,1317108,68361c58cf6af261dcc084dc,1,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
jx0mmm4wwk,39611.70000000298,1399639,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The presented presented Feature B,,ans,c5
jx0mmm4wwk,2061.4000000059605,1407495,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
jx0mmm4wwk,19271.29999999702,1462413,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The first student did not attend,,ans,d2
jx0mmm4wwk,2558.3999999910593,1470639,68361c58cf6af261dcc084dc,1,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,80%,50%,10%,70%,cook,1,0,1,1,,,stim,d5
jx0mmm4wwk,22534.59999999404,1540479,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The main dish was on the menu,,ans,d5
jx0mmm4wwk,3120.5999999940395,1547323,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
jx0mmm4wwk,1802.0999999940395,1616590,68361c58cf6af261dcc084dc,1,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,80%,50%,10%,70%,group,1,0,0,0,,,stim,c3
jx0mmm4wwk,12733.40000000596,1666380,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The second student did not attend,,ans,c3
jx0mmm4wwk,1857.2000000029802,1672437,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
jx0mmm4wwk,33484.20000000298,1711558,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The presenter did not present Feature A,,ans,c2
jx0mmm4wwk,2073.9000000059605,1720416,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
jx0mmm4wwk,31373.70000000298,1755289,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The second student did not attend,,ans,d4
jx0mmm4wwk,1540.6000000089407,1761423,68361c58cf6af261dcc084dc,0,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,50%,10%,50%,80%,group,0,0,0,1,,,stim,d1
jx0mmm4wwk,42961.20000000298,1807469,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The first student did not attend,,ans,d1
jx0mmm4wwk,1652.5,1813896,68361c58cf6af261dcc084dc,1,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,50%,80%,50%,10%,cook,0,0,0,0,,,stim,c1
jx0mmm4wwk,82012.5,1899735,68361c58cf6af261dcc084dc,,6851b6145b9a58eb29d70934,6851bf9317a7c630827e5d8e,,,,,,,,,,The dessert was not on the menu,,ans,c1
