subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
l9bjwe50z3,55460.29999999888,1006129,6840cb7ac6a6f127e7066aa6,1,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
l9bjwe50z3,122579.39999999851,1190090,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The first student did not attend,,ans,d6
l9bjwe50z3,25828.400000000373,1247448,6840cb7ac6a6f127e7066aa6,1,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
l9bjwe50z3,17798.900000000373,1317134,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The first student did not attend,,ans,d2
l9bjwe50z3,45933.300000000745,1368282,6840cb7ac6a6f127e7066aa6,1,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
l9bjwe50z3,97831.10000000149,1475539,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The second student had had a good morning,,ans,c3
l9bjwe50z3,3426.900000002235,1488136,6840cb7ac6a6f127e7066aa6,1,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,80%,50%,10%,70%,job,0,1,1,1,,,stim,d3
l9bjwe50z3,153475,1653684,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
l9bjwe50z3,1294.7999999970198,1758687,6840cb7ac6a6f127e7066aa6,0,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
l9bjwe50z3,70709.59999999776,1880895,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The person did not want to eat the dessert,,ans,d1
l9bjwe50z3,1706.800000000745,1919315,6840cb7ac6a6f127e7066aa6,0,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,10%,70%,80%,50%,cook,0,0,0,0,,,stim,c1
l9bjwe50z3,24126.300000000745,1946731,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The person did not want to eat the main dish,,ans,c1
l9bjwe50z3,1251.0999999977648,1989770,6840cb7ac6a6f127e7066aa6,0,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,50%,10%,50%,80%,group,1,0,0,1,,,stim,d4
l9bjwe50z3,47191.10000000149,2038879,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The second student did not attend,,ans,d4
l9bjwe50z3,1460.8999999985099,2078886,6840cb7ac6a6f127e7066aa6,1,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
l9bjwe50z3,26611.099999997765,2108859,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The files underlying Feature A were fine,,ans,c5
l9bjwe50z3,1172.5,2155084,6840cb7ac6a6f127e7066aa6,0,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,10%,50%,80%,50%,cook,1,1,0,0,,,stim,c4
l9bjwe50z3,25285.400000002235,2182155,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
l9bjwe50z3,966.8999999985099,2228775,6840cb7ac6a6f127e7066aa6,0,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
l9bjwe50z3,54363.60000000149,2285324,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The first student attended,,ans,d5
l9bjwe50z3,1317,2351021,6840cb7ac6a6f127e7066aa6,0,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
l9bjwe50z3,65267.099999997765,2418263,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The first student attended,,ans,d7
l9bjwe50z3,1169.300000000745,2467938,6840cb7ac6a6f127e7066aa6,1,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
l9bjwe50z3,105071.09999999776,2575883,6840cb7ac6a6f127e7066aa6,,6851b6145b9a58eb29d70934,6851c06a85f59895612e8ca4,,,,,,,,,,The person did not want to eat the main dish,,ans,c2
