subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
lfthxrzr7p,967.2999999970198,38287,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,50%,10%,50%,80%,job,1,1,1,0,,,stim,c5
lfthxrzr7p,29344.19999999553,70301,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The presenter presented Feature A,,ans,c5
lfthxrzr7p,1060.5,76893,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
lfthxrzr7p,11199.5,91209,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The main dish was not on the menu,,ans,d3
lfthxrzr7p,1586,145645,6840ed5da7ed1981b771a4c5,1,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,80%,50%,10%,50%,cook,1,0,0,1,,,stim,d4
lfthxrzr7p,6699.89999999851,156693,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The main dish was on the menu,,ans,d4
lfthxrzr7p,942,161348,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,10%,70%,80%,50%,job,0,0,0,0,,,stim,c1
lfthxrzr7p,5934.39999999851,168973,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The presenter did not present Feature A,,ans,c1
lfthxrzr7p,845.1999999955297,173152,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
lfthxrzr7p,6986.5,181737,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The main dish was on the menu,,ans,d7
lfthxrzr7p,1458.8999999985099,186566,6840ed5da7ed1981b771a4c5,1,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,80%,50%,10%,70%,cook,0,1,0,0,,,stim,c2
lfthxrzr7p,7132.20000000298,196922,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The main dish was not on the menu,,ans,c2
lfthxrzr7p,758,201876,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,10%,50%,80%,50%,group,0,1,0,1,,,stim,d2
lfthxrzr7p,6021.9000000059605,209723,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The first student did not attend,,ans,d2
lfthxrzr7p,1541.3999999985099,215068,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
lfthxrzr7p,6901.60000000149,224426,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The presenter presented Feature A,,ans,c3
lfthxrzr7p,847.6000000014901,228814,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,10%,70%,80%,50%,cook,1,1,0,0,,,stim,c4
lfthxrzr7p,6400.30000000447,237582,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The main dish was on the menu,,ans,c4
lfthxrzr7p,1091.6000000014901,241676,6840ed5da7ed1981b771a4c5,1,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,80%,50%,10%,50%,group,1,0,1,1,,,stim,d5
lfthxrzr7p,8100.69999999553,252445,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The first student attended,,ans,d5
lfthxrzr7p,863.2999999970198,256516,6840ed5da7ed1981b771a4c5,1,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,80%,50%,10%,70%,job,1,1,0,1,,,stim,d6
lfthxrzr7p,7600.69999999553,267432,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The presented presented Feature B,,ans,d6
lfthxrzr7p,1054.3999999985099,271456,6840ed5da7ed1981b771a4c5,0,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,10%,50%,80%,50%,group,0,0,0,1,,,stim,d1
lfthxrzr7p,10585.5,284752,6840ed5da7ed1981b771a4c5,,6851b6145b9a58eb29d70934,6851bed5a26288ad030233e4,,,,,,,,,,The second student did not attend,,ans,d1
