subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
m1m19xts9c,46166.09999999404,619586,66a4536df2cf006d6e8c83dc,0,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
m1m19xts9c,54249,760456,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The person did not want to eat the dessert,,ans,d6
m1m19xts9c,34567.19999998808,826917,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
m1m19xts9c,22698.20000001788,921223,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
m1m19xts9c,17079,961127,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
m1m19xts9c,20140.59999999404,1039994,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The second student did not attend,,ans,c3
m1m19xts9c,51421.70000001788,1106486,66a4536df2cf006d6e8c83dc,0,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,10%,70%,80%,50%,cook,0,0,0,1,,,stim,d1
m1m19xts9c,52044.19999998808,1190082,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The main dish was not on the menu,,ans,d1
m1m19xts9c,18566.399999976158,1230570,66a4536df2cf006d6e8c83dc,0,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,10%,50%,80%,50%,cook,0,1,0,1,,,stim,d2
m1m19xts9c,59125.69999998808,1323840,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The main dish was not on the menu,,ans,d2
m1m19xts9c,11286.59999999404,1352851,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,80%,50%,10%,70%,group,1,0,1,1,,,stim,d5
m1m19xts9c,117393,1525828,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The first student had had a good morning,,ans,d5
m1m19xts9c,41410,1588914,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,80%,50%,10%,50%,job,1,1,1,0,,,stim,c5
m1m19xts9c,45278,1661217,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The files underlying Feature B were fine,,ans,c5
m1m19xts9c,12462.90000000596,1689168,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,80%,50%,10%,50%,cook,0,1,0,0,,,stim,c2
m1m19xts9c,25768.70000001788,1743420,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The main dish was not on the menu,,ans,c2
m1m19xts9c,19482.09999999404,1782871,66a4536df2cf006d6e8c83dc,0,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,10%,70%,80%,50%,group,1,1,0,0,,,stim,c4
m1m19xts9c,24726.79999998212,1842428,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The first student had not had a good morning,,ans,c4
m1m19xts9c,24492.09999999404,1880642,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,80%,50%,10%,70%,cook,0,0,0,0,,,stim,c1
m1m19xts9c,31082.29999998212,1950962,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The dessert was not on the menu,,ans,c1
m1m19xts9c,21526.59999999404,1985605,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,50%,80%,50%,10%,job,1,1,1,1,,,stim,d7
m1m19xts9c,11944.699999988079,2037359,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
m1m19xts9c,17242,2069778,66a4536df2cf006d6e8c83dc,1,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
m1m19xts9c,22674.30000001192,2117878,66a4536df2cf006d6e8c83dc,,6851b6145b9a58eb29d70934,6851be2d4b8dfa9c29a3a6b9,,,,,,,,,,The second student attended,,ans,d3
