subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
n12dr9r17v,53075.90000003576,454139,678f891d24aaca1f40d5cb0e,0,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,10%,70%,80%,50%,job,1,0,1,1,,,stim,d5
n12dr9r17v,30353.599999964237,514559,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
n12dr9r17v,38659.39999997616,573311,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,50%,80%,50%,10%,job,1,0,0,0,,,stim,c3
n12dr9r17v,46135,642808,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The presented did not present Feature B,,ans,c3
n12dr9r17v,10677.399999976158,675787,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,50%,group,0,1,1,1,,,stim,d3
n12dr9r17v,12623.699999988079,719313,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The second student had had a good morning,,ans,d3
n12dr9r17v,19718.299999952316,761297,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,50%,cook,1,1,1,0,,,stim,c5
n12dr9r17v,66304.70000004768,851241,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
n12dr9r17v,26744.19999998808,895863,678f891d24aaca1f40d5cb0e,0,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,10%,70%,80%,50%,job,0,1,0,0,,,stim,c2
n12dr9r17v,17766.299999952316,935565,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The presenter did not present Feature A,,ans,c2
n12dr9r17v,13703.800000011921,962034,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
n12dr9r17v,65841.09999996424,1048521,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The files underlying Feature A were fine,,ans,c4
n12dr9r17v,16287.599999964237,1088249,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,50%,80%,50%,10%,job,1,0,0,1,,,stim,d4
n12dr9r17v,6591.5,1113318,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
n12dr9r17v,20208.099999964237,1148384,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
n12dr9r17v,20366.399999976158,1201463,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
n12dr9r17v,13103.199999988079,1240308,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,70%,group,0,0,0,1,,,stim,d1
n12dr9r17v,97661.89999997616,1356703,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The first student did not attend,,ans,d1
n12dr9r17v,14937.800000011921,1383018,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,50%,job,0,0,0,0,,,stim,c1
n12dr9r17v,33878.60000002384,1434342,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The presenter did not present Feature A,,ans,c1
n12dr9r17v,12174.300000011921,1461906,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
n12dr9r17v,35755.69999998808,1516219,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The files underlying Feature A were fine,,ans,d7
n12dr9r17v,10486.200000047684,1538108,678f891d24aaca1f40d5cb0e,1,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,50%,80%,50%,10%,job,0,1,0,1,,,stim,d2
n12dr9r17v,11161.5,1564684,678f891d24aaca1f40d5cb0e,,6851b6145b9a58eb29d70934,6851bde0c7fb2f5cdff6271b,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
