subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
nhe8u0vgzw,57327.40000000596,712100,558c1c5dfdf99b5d806a0017,0,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,10%,50%,80%,50%,cook,1,1,0,1,,,stim,d6
nhe8u0vgzw,22959.60000000894,815981,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
nhe8u0vgzw,10031.09999999404,854181,558c1c5dfdf99b5d806a0017,0,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
nhe8u0vgzw,23327.39999999106,950517,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The first student had had a good morning,,ans,d7
nhe8u0vgzw,32111.29999999702,1020429,558c1c5dfdf99b5d806a0017,0,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,50%,10%,50%,80%,cook,0,0,0,0,,,stim,c1
nhe8u0vgzw,12703.5,1045165,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The person wanted to eat the main dish,,ans,c1
nhe8u0vgzw,9823.29999999702,1091973,558c1c5dfdf99b5d806a0017,1,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
nhe8u0vgzw,5951.5,1117638,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The dessert was not on the menu,,ans,d1
nhe8u0vgzw,14519.29999999702,1146877,558c1c5dfdf99b5d806a0017,1,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,50%,80%,50%,10%,job,0,1,0,0,,,stim,c2
nhe8u0vgzw,15727.59999999404,1201806,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The presenter did not present Feature A,,ans,c2
nhe8u0vgzw,6703.29999999702,1215878,558c1c5dfdf99b5d806a0017,1,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,80%,50%,10%,50%,job,1,0,0,0,,,stim,c3
nhe8u0vgzw,3783.3999999910593,1232046,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The presented did not present Feature B,,ans,c3
nhe8u0vgzw,4511.20000000298,1245534,558c1c5dfdf99b5d806a0017,1,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,50%,80%,50%,10%,cook,1,1,1,0,,,stim,c5
nhe8u0vgzw,5383.5,1263686,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The dessert was on the menu,,ans,c5
nhe8u0vgzw,7007.4000000059605,1276830,558c1c5dfdf99b5d806a0017,0,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,10%,70%,80%,50%,group,1,0,1,1,,,stim,d5
nhe8u0vgzw,10767.60000000894,1301310,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The second student did not attend,,ans,d5
nhe8u0vgzw,4639.29999999702,1309182,558c1c5dfdf99b5d806a0017,1,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
nhe8u0vgzw,9863.5,1324630,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The second student had had a good morning,,ans,d3
nhe8u0vgzw,7647.29999999702,1335838,558c1c5dfdf99b5d806a0017,1,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,80%,50%,10%,70%,group,0,1,0,1,,,stim,d2
nhe8u0vgzw,3495.5,1352254,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The first student did not attend,,ans,d2
nhe8u0vgzw,935.2999999970198,1356550,558c1c5dfdf99b5d806a0017,0,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,50%,10%,50%,80%,job,1,0,0,1,,,stim,d4
nhe8u0vgzw,6471.4000000059605,1372630,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The presented did not present Feature B,,ans,d4
nhe8u0vgzw,2263.1000000089407,1378710,558c1c5dfdf99b5d806a0017,0,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,10%,70%,80%,50%,job,1,1,0,0,,,stim,c4
nhe8u0vgzw,18311.59999999404,1399894,558c1c5dfdf99b5d806a0017,,6851b6145b9a58eb29d70934,6851be4c6657349ec8709dfe,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c4
