subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
nkujga9tfg,1106,132651,67a908afd56a6f9e4bf0d17d,1,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,50%,80%,50%,10%,group,0,0,0,0,,,stim,c1
nkujga9tfg,213032.70000000298,347303,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The first student did not attend,,ans,c1
nkujga9tfg,1143.3999999910593,353179,67a908afd56a6f9e4bf0d17d,1,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
nkujga9tfg,4853.20000000298,360587,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The second student attended,,ans,c2
nkujga9tfg,1142.4000000059605,364899,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,10%,50%,80%,50%,cook,0,1,1,1,,,stim,d3
nkujga9tfg,4945,372740,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The dessert was on the menu,,ans,d3
nkujga9tfg,1221.9000000059605,379821,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,10%,70%,80%,50%,job,1,1,1,0,,,stim,c5
nkujga9tfg,17215.59999999404,398861,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The presented presented Feature B,,ans,c5
nkujga9tfg,1414,404988,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,50%,10%,50%,80%,cook,1,1,1,1,,,stim,d7
nkujga9tfg,6009.300000011921,414125,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The dessert was on the menu,,ans,d7
nkujga9tfg,1022.6999999880791,421900,67a908afd56a6f9e4bf0d17d,1,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,50%,80%,50%,10%,group,1,0,0,1,,,stim,d4
nkujga9tfg,6703,431468,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The second student did not attend,,ans,d4
nkujga9tfg,978.9000000059605,435509,67a908afd56a6f9e4bf0d17d,1,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
nkujga9tfg,17512.70000000298,455245,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The dessert was on the menu,,ans,d6
nkujga9tfg,799,458699,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
nkujga9tfg,12182,473556,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The presented presented Feature B,,ans,d2
nkujga9tfg,1055.6000000089407,477365,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,50%,10%,50%,80%,job,1,0,0,0,,,stim,c3
nkujga9tfg,5670.20000000298,485317,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The presented did not present Feature B,,ans,c3
nkujga9tfg,1091.6000000089407,489266,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,10%,50%,80%,50%,job,0,0,0,1,,,stim,d1
nkujga9tfg,12377.29999999702,504389,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The presenter did not present Feature A,,ans,d1
nkujga9tfg,1061.6000000089407,509746,67a908afd56a6f9e4bf0d17d,0,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,10%,50%,80%,50%,job,1,0,1,1,,,stim,d5
nkujga9tfg,5783.4000000059605,520843,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The presented presented Feature B,,ans,d5
nkujga9tfg,1110.7000000029802,526723,67a908afd56a6f9e4bf0d17d,1,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,80%,50%,10%,50%,job,1,1,0,0,,,stim,c4
nkujga9tfg,4070.0999999940395,533436,67a908afd56a6f9e4bf0d17d,,6851b6145b9a58eb29d70934,6851be665716d2b6b5abeb7d,,,,,,,,,,The presented presented Feature B,,ans,c4
