subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
oje1ff6yp3,23241.200000001118,694089,67d184729aa937ccec298d54,0,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,50%,10%,50%,80%,group,1,1,1,0,,,stim,c5
oje1ff6yp3,89078.29999999888,892440,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The second student had had a good morning,,ans,c5
oje1ff6yp3,6886.800000000745,908800,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
oje1ff6yp3,47063.199999999255,988418,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The person did not want to eat the main dish,,ans,d4
oje1ff6yp3,7334,1006144,67d184729aa937ccec298d54,0,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,50%,10%,50%,80%,group,1,1,0,1,,,stim,d6
oje1ff6yp3,33742,1073767,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The first student had not had a good morning,,ans,d6
oje1ff6yp3,6046,1088496,67d184729aa937ccec298d54,0,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,10%,50%,80%,50%,group,1,1,0,0,,,stim,c4
oje1ff6yp3,23789.10000000149,1117744,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The first student did not attend,,ans,c4
oje1ff6yp3,5549.9000000003725,1148295,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,80%,50%,10%,50%,job,0,1,0,0,,,stim,c2
oje1ff6yp3,22007.099999999627,1223273,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The files underlying Feature B were corrupted,,ans,c2
oje1ff6yp3,7711.5,1239385,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,80%,50%,10%,50%,cook,0,0,0,1,,,stim,d1
oje1ff6yp3,43134.5,1309599,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The dessert was not on the menu,,ans,d1
oje1ff6yp3,9213.10000000149,1332471,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,80%,50%,10%,70%,cook,1,0,0,0,,,stim,c3
oje1ff6yp3,17374.400000000373,1367063,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The dessert was not on the menu,,ans,c3
oje1ff6yp3,13453,1391519,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,80%,50%,10%,70%,job,1,0,1,1,,,stim,d5
oje1ff6yp3,51875.20000000112,1447724,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d5
oje1ff6yp3,5424.5,1512906,67d184729aa937ccec298d54,0,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,10%,70%,80%,50%,group,1,1,1,1,,,stim,d7
oje1ff6yp3,32406.89999999851,1546711,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The second student had not had a good morning,,ans,d7
oje1ff6yp3,6681,1569089,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,80%,50%,10%,70%,cook,0,1,1,1,,,stim,d3
oje1ff6yp3,19038.299999998882,1590391,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The person did not want to eat the main dish,,ans,d3
oje1ff6yp3,12325.400000000373,1618854,67d184729aa937ccec298d54,1,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,80%,50%,10%,70%,group,0,0,0,0,,,stim,c1
oje1ff6yp3,92409.69999999925,1770019,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The second student did not attend,,ans,c1
oje1ff6yp3,6663,1785703,67d184729aa937ccec298d54,0,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,50%,10%,50%,80%,job,0,1,0,1,,,stim,d2
oje1ff6yp3,21293.900000000373,1811654,67d184729aa937ccec298d54,,6851b6145b9a58eb29d70934,6851c113af84438f595702c9,,,,,,,,,,The files underlying Feature B were corrupted,,ans,d2
