subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ok8z4dn8al,5609.100000023842,810723,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,80%,50%,10%,50%,job,1,0,1,1,,,stim,d5
ok8z4dn8al,38837.39999997616,868982,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The files underlying Feature A were fine,,ans,d5
ok8z4dn8al,884.3999999761581,872153,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
ok8z4dn8al,3252.600000023842,876732,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The person wanted to eat the dessert,,ans,c2
ok8z4dn8al,950.1999999880791,879746,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,50%,80%,50%,10%,group,1,0,0,0,,,stim,c3
ok8z4dn8al,23527,906988,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The first student had not had a good morning,,ans,c3
ok8z4dn8al,671.6000000238419,909564,6778196b35c3f4ee20388a60,0,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,50%,10%,50%,80%,cook,1,1,1,0,,,stim,c5
ok8z4dn8al,26751.900000035763,937323,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The person wanted to eat the dessert,,ans,c5
ok8z4dn8al,725.3999999761581,940030,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,80%,50%,10%,70%,job,0,0,0,0,,,stim,c1
ok8z4dn8al,14194,955192,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The presenter did not present Feature A,,ans,c1
ok8z4dn8al,766.5,958003,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,50%,80%,50%,10%,group,1,1,0,0,,,stim,c4
ok8z4dn8al,15047.199999988079,974394,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The second student attended,,ans,c4
ok8z4dn8al,863.5,977066,6778196b35c3f4ee20388a60,0,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,10%,70%,80%,50%,job,1,1,0,1,,,stim,d6
ok8z4dn8al,10408.300000011921,988497,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The presenter did not present Feature A,,ans,d6
ok8z4dn8al,1234.5,992422,6778196b35c3f4ee20388a60,0,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,10%,50%,80%,50%,job,0,1,0,1,,,stim,d2
ok8z4dn8al,7888.399999976158,1001685,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The presented did not present Feature B,,ans,d2
ok8z4dn8al,816.1999999880791,1004777,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,80%,50%,10%,70%,cook,0,0,0,1,,,stim,d1
ok8z4dn8al,14610.300000011921,1021340,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The main dish was not on the menu,,ans,d1
ok8z4dn8al,935.5,1024737,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,80%,50%,10%,70%,job,1,1,1,1,,,stim,d7
ok8z4dn8al,9480.599999964237,1035089,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The presenter presented Feature A,,ans,d7
ok8z4dn8al,2311.400000035763,1039487,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,50%,80%,50%,10%,cook,1,0,0,1,,,stim,d4
ok8z4dn8al,2403.599999964237,1043876,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The person wanted to eat the dessert,,ans,d4
ok8z4dn8al,1045.5,1053881,6778196b35c3f4ee20388a60,1,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,50%,80%,50%,10%,group,0,1,1,1,,,stim,d3
ok8z4dn8al,2340.600000023842,1057970,6778196b35c3f4ee20388a60,,6851b6145b9a58eb29d70934,6851c1d3b17e5fa33d13d364,,,,,,,,,,The second student attended,,ans,d3
