subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ovd1p3wfum,29154,417072,65d863e56337aa59292ccd66,0,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,50%,10%,50%,80%,job,0,0,0,1,,,stim,d1
ovd1p3wfum,175023,644170,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The presented did not present Feature B,,ans,d1
ovd1p3wfum,94626,752786,65d863e56337aa59292ccd66,0,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,10%,70%,80%,50%,cook,1,1,1,1,,,stim,d7
ovd1p3wfum,43838,861236,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The person wanted to eat the main dish,,ans,d7
ovd1p3wfum,9091,922307,65d863e56337aa59292ccd66,0,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,10%,50%,80%,50%,group,1,1,1,0,,,stim,c5
ovd1p3wfum,26982,964920,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The first student had had a good morning,,ans,c5
ovd1p3wfum,8895,981407,65d863e56337aa59292ccd66,1,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,80%,50%,10%,50%,cook,1,1,0,0,,,stim,c4
ovd1p3wfum,34708,1039563,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The person did not want to eat the dessert,,ans,c4
ovd1p3wfum,6503,1057755,65d863e56337aa59292ccd66,1,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,80%,50%,10%,70%,group,1,1,0,1,,,stim,d6
ovd1p3wfum,33029,1104469,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The first student had not had a good morning,,ans,d6
ovd1p3wfum,6189,1117155,65d863e56337aa59292ccd66,1,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,50%,80%,50%,10%,cook,0,1,0,0,,,stim,c2
ovd1p3wfum,31427,1164665,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The main dish was not on the menu,,ans,c2
ovd1p3wfum,4836,1181791,65d863e56337aa59292ccd66,0,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,10%,50%,80%,50%,cook,1,0,1,1,,,stim,d5
ovd1p3wfum,17936,1209984,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The person wanted to eat the main dish,,ans,d5
ovd1p3wfum,4611,1225667,65d863e56337aa59292ccd66,0,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
ovd1p3wfum,36895,1270404,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The first student did not attend,,ans,c1
ovd1p3wfum,19891,1296299,65d863e56337aa59292ccd66,1,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,80%,50%,10%,50%,job,1,0,0,1,,,stim,d4
ovd1p3wfum,21508,1331535,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The files underlying Feature A were corrupted,,ans,d4
ovd1p3wfum,4577,1341731,65d863e56337aa59292ccd66,1,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,50%,80%,50%,10%,job,0,1,1,1,,,stim,d3
ovd1p3wfum,15222,1363386,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The files underlying Feature B were fine,,ans,d3
ovd1p3wfum,6970,1377664,65d863e56337aa59292ccd66,1,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,50%,80%,50%,10%,group,0,1,0,1,,,stim,d2
ovd1p3wfum,12458,1401579,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The first student did not attend,,ans,d2
ovd1p3wfum,9547,1417593,65d863e56337aa59292ccd66,0,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,10%,70%,80%,50%,job,1,0,0,0,,,stim,c3
ovd1p3wfum,12087,1440346,65d863e56337aa59292ccd66,,6851b6145b9a58eb29d70934,6851be076c5a94949aff7755,,,,,,,,,,The presented did not present Feature B,,ans,c3
