subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments,rowtype,trialtype
ppvm9bqene,19847.10000014305,450170,6596d15e8b04c4874343a715,1,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,50%,80%,50%,10%,cook,1,0,1,1,,,stim,d5
ppvm9bqene,39855.700000047684,505210,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The main dish was on the menu,,ans,d5
ppvm9bqene,11183.400000095367,540410,6596d15e8b04c4874343a715,1,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,80%,50%,10%,70%,group,0,1,1,1,,,stim,d3
ppvm9bqene,23863.5,575250,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The second student had had a good morning,,ans,d3
ppvm9bqene,21023.39999985695,607650,6596d15e8b04c4874343a715,0,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,10%,70%,80%,50%,job,0,1,0,1,,,stim,d2
ppvm9bqene,44631.200000047684,667858,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The presenter did not present Feature A,,ans,d2
ppvm9bqene,9328,688115,6596d15e8b04c4874343a715,0,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,10%,70%,80%,50%,group,1,0,0,0,,,stim,c3
ppvm9bqene,16863.5,716850,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The first student had not had a good morning,,ans,c3
ppvm9bqene,2311.300000190735,725370,6596d15e8b04c4874343a715,1,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,80%,50%,10%,70%,cook,1,1,0,1,,,stim,d6
ppvm9bqene,19607.599999904633,750786,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The person did not want to eat the main dish,,ans,d6
ppvm9bqene,1583.3999998569489,756850,6596d15e8b04c4874343a715,0,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,50%,10%,50%,80%,group,1,1,0,0,,,stim,c4
ppvm9bqene,24463.400000095367,783402,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The second student had not had a good morning,,ans,c4
ppvm9bqene,3087.399999856949,790810,6596d15e8b04c4874343a715,1,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,50%,80%,50%,10%,job,1,1,1,0,,,stim,c5
ppvm9bqene,32447.299999952316,826882,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The files underlying Feature A were fine,,ans,c5
ppvm9bqene,1079.2999999523163,831242,6596d15e8b04c4874343a715,1,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,50%,80%,50%,10%,group,0,0,0,1,,,stim,d1
ppvm9bqene,10695.700000047684,843642,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The first student had not had a good morning,,ans,d1
ppvm9bqene,1039.6000001430511,847170,6596d15e8b04c4874343a715,0,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,10%,50%,80%,50%,group,1,1,1,1,,,stim,d7
ppvm9bqene,12279.799999952316,862082,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The first student had had a good morning,,ans,d7
ppvm9bqene,4991.399999856949,871658,6596d15e8b04c4874343a715,0,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,50%,10%,50%,80%,group,0,0,0,0,,,stim,c1
ppvm9bqene,13239.900000095367,888658,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The first student did not attend,,ans,c1
ppvm9bqene,951.2999999523163,892474,6596d15e8b04c4874343a715,1,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,80%,50%,10%,70%,group,0,1,0,0,,,stim,c2
ppvm9bqene,17911.5,912426,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The second student did not attend,,ans,c2
ppvm9bqene,1239.5,917034,6596d15e8b04c4874343a715,0,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,10%,50%,80%,50%,group,1,0,0,1,,,stim,d4
ppvm9bqene,7543.799999952316,926370,6596d15e8b04c4874343a715,,6851b6145b9a58eb29d70934,6851c1d0239bce89fd5d63af,,,,,,,,,,The first student attended,,ans,d4
